frame,x,y,prob
0,865,578,0.6881032
0,660,575,0.23589031
1,865,578,0.72390217
2,865,578,0.7435168
3,865,578,0.72750646
4,865,578,0.7147164
4,892,667,0.20225194
5,865,578,0.7408486
6,866,577,0.7310904
7,866,577,0.72500086
8,865,577,0.71750045
9,866,577,0.65054786
10,865,577,0.6014739
11,865,577,0.5082019
12,865,577,0.42338455
13,830,250,0.48567906
14,1104,266,0.56296176
16,865,576,0.4553714
16,892,666,0.25411755
17,865,576,0.32489088
17,892,666,0.2557176
18,865,576,0.5055654
18,892,667,0.23758513
19,865,576,0.3160903
19,574,713,0.22635858
20,865,576,0.3158954
21,865,575,0.4264831
22,865,575,0.5147308
23,865,575,0.3603494
23,192,153,0.31444502
24,865,575,0.45464414
24,192,153,0.27565005
25,865,575,0.3787682
25,192,153,0.28280854
26,865,575,0.40523165
26,192,153,0.2924942
27,865,575,0.37955573
27,192,153,0.28019038
28,865,575,0.31006566
28,560,696,0.2086447
29,865,575,0.3478127
30,865,575,0.28136158
31,865,575,0.22979438
32,864,575,0.24255894
33,864,575,0.20735045
34,865,575,0.24977064
35,661,573,0.27148467
35,865,575,0.26096416
36,865,575,0.2777834
36,661,573,0.24732007
37,865,576,0.2922763
37,661,573,0.22369626
38,660,572,0.29234734
38,865,576,0.2003892
39,865,576,0.22575325
40,865,576,0.27172598
41,1241,188,0.3316322
41,1208,172,0.21374626
41,865,576,0.20048647
43,658,572,0.25784042
43,866,576,0.2083963
53,113,51,0.5171855
54,97,102,0.32984015
55,96,139,0.44163018
56,348,67,0.21351339
56,321,52,0.21069734
57,865,572,0.22330365
58,865,572,0.20678376
61,865,572,0.22012976
62,865,572,0.21133982
64,864,572,0.20669731
68,864,572,0.20204343
69,864,572,0.20684265
70,864,572,0.22508432
71,864,572,0.21098924
73,864,572,0.20027606
74,865,572,0.21315838
75,865,572,0.25835165
76,865,572,0.24801032
77,865,572,0.23875389
78,865,572,0.24357681
79,865,572,0.24249068
80,865,572,0.25466666
81,865,572,0.2870547
86,865,572,0.22219272
98,865,572,0.21039256
101,865,572,0.20108078
107,865,572,0.2054256
140,290,670,0.2065219
142,290,671,0.22317669
143,290,672,0.2164348
155,127,127,0.20548739
157,127,127,0.2271293
157,191,141,0.21483655
158,126,126,0.3036759
158,191,141,0.27230915
159,126,126,0.23812488
160,125,127,0.30278295
160,191,141,0.28459123
161,125,127,0.2741323
161,191,141,0.21156116
162,125,126,0.22672564
163,125,126,0.26211837
163,191,141,0.22020848
168,290,670,0.20492454
169,290,670,0.20882444
172,289,678,0.2012006
173,125,126,0.20402314
174,126,126,0.21157686
176,191,141,0.20821159
181,126,126,0.25144857
181,191,141,0.24110737
182,191,141,0.20372899
183,126,127,0.22181928
185,191,141,0.25010803
186,191,141,0.2652662
187,191,141,0.23681752
188,191,141,0.22575678
189,191,141,0.23125279
198,191,141,0.25252917
198,126,126,0.22625278
199,191,141,0.24867761
200,191,141,0.26767796
200,125,125,0.20367035
201,191,141,0.2863491
201,126,126,0.27753344
202,126,126,0.27212775
202,191,141,0.24555552
203,126,126,0.20322947
204,191,141,0.24073228
205,190,141,0.21001618
206,125,126,0.26689562
206,191,141,0.22781934
207,289,678,0.22688153
207,191,141,0.21291624
208,125,126,0.26203576
208,190,140,0.2299873
209,125,125,0.25371516
209,191,140,0.217685
211,126,126,0.20009106
212,126,126,0.22884545
212,191,141,0.22354509
214,125,126,0.24502605
214,191,141,0.20542721
215,125,126,0.22795874
215,191,141,0.2194066
216,125,125,0.20314103
217,191,141,0.22649817
220,1388,500,0.24009065
221,1388,501,0.22777216
221,191,141,0.22398335
222,1388,501,0.23259239
222,191,141,0.22290829
223,126,126,0.25330374
223,1387,501,0.2470926
223,191,141,0.2281139
224,126,126,0.2811504
224,190,141,0.2551185
224,1387,500,0.21084917
225,191,141,0.24632747
225,126,126,0.23509249
226,191,141,0.24211669
226,126,126,0.2377108
227,191,141,0.2425876
227,125,125,0.20789632
228,190,141,0.21106517
229,1387,500,0.22867087
229,191,141,0.2254669
229,126,126,0.21791744
230,1387,499,0.257302
231,1387,499,0.29257503
231,191,141,0.2079957
232,1388,498,0.27522275
232,191,141,0.24312489
233,1387,499,0.28718534
233,191,141,0.23691659
234,1386,499,0.24611734
234,191,141,0.23952642
235,1386,499,0.24453261
235,191,141,0.2175398
235,289,678,0.21295626
236,190,140,0.22872543
236,289,678,0.20621243
237,125,126,0.2211068
237,190,140,0.21565744
238,1387,500,0.3166822
238,125,126,0.22379099
238,190,140,0.2087146
239,1387,500,0.34662226
239,190,140,0.30558342
239,125,126,0.28124312
240,1387,499,0.33200303
241,1386,498,0.3202802
241,125,126,0.20930947
242,1386,498,0.38909838
242,126,126,0.27067333
242,191,141,0.22195317
243,1386,500,0.4109473
243,126,127,0.24230638
243,191,141,0.23219813
244,1387,500,0.37411243
244,126,127,0.2658334
244,191,141,0.2615279
245,1387,500,0.42827934
245,191,141,0.2748062
246,1387,499,0.36790293
246,191,141,0.27477604
246,126,127,0.2683587
247,1386,500,0.31382447
247,191,141,0.29415578
247,125,126,0.2797827
248,1385,499,0.2850134
248,191,141,0.28246707
248,126,127,0.24925971
249,1385,499,0.29365358
249,191,141,0.2884481
249,126,127,0.2734099
250,191,141,0.30769145
250,126,126,0.29280797
250,1385,498,0.28404862
251,1385,498,0.32499427
251,191,142,0.28027606
251,126,126,0.25963512
252,1384,498,0.28848237
252,126,126,0.27066532
252,191,141,0.26192662
253,126,127,0.21743678
253,1383,497,0.21682462
253,191,142,0.21436276
254,1375,491,0.24000674
254,191,141,0.21291497
255,191,141,0.25716197
255,126,126,0.25557557
255,1376,491,0.21450256
256,126,126,0.27653056
256,1376,491,0.27298066
256,191,141,0.26204568
257,191,141,0.26889202
258,191,141,0.254974
258,1376,497,0.2527731
258,1728,664,0.23495682
258,126,126,0.21061867
259,1841,440,0.2215504
262,1594,652,0.20793128
265,892,654,0.21794072
265,1729,664,0.21400951
270,892,655,0.21581067
273,1728,664,0.20119198
308,1371,504,0.24750635
309,251,71,0.22082187
310,251,71,0.30789503
310,1372,504,0.22484975
312,499,490,0.34272212
313,502,488,0.32209504
313,251,70,0.22708802
316,865,572,0.21621631
320,865,572,0.2358121
325,865,572,0.22231954
326,528,496,0.2808416
328,865,572,0.2489583
329,865,572,0.21970321
331,865,572,0.20509955
337,865,572,0.20003462
338,865,572,0.23934783
339,865,572,0.25852978
340,865,572,0.3017729
341,865,572,0.34925646
342,865,572,0.38042232
343,865,572,0.37031475
344,865,572,0.3590582
345,865,572,0.349271
345,892,666,0.20755762
346,865,572,0.2669244
347,865,572,0.25073504
348,865,572,0.24127392
349,865,572,0.27903724
350,865,572,0.26578662
351,865,572,0.27487075
351,892,666,0.22084272
352,865,572,0.28994262
352,892,653,0.24087572
353,865,572,0.2798621
353,892,653,0.20388275
354,865,572,0.24714357
355,865,572,0.33318543
355,892,666,0.21840426
356,865,572,0.2397671
356,892,653,0.21583778
357,865,572,0.2758632
357,892,653,0.22575308
358,865,572,0.34676892
358,891,653,0.24654269
359,865,572,0.31030074
359,891,653,0.2314037
360,865,572,0.3120229
360,891,653,0.22044191
361,865,572,0.2720866
361,891,653,0.24171308
362,865,572,0.30407688
362,891,653,0.26652777
363,865,572,0.28108454
363,891,653,0.2681464
364,634,528,0.31068447
364,865,572,0.20985824
365,865,572,0.23354353
366,865,572,0.29062018
367,865,572,0.30684307
368,865,572,0.39595947
369,865,572,0.39134535
370,865,572,0.28704816
371,865,572,0.36885715
372,865,572,0.32164901
372,500,956,0.24811217
373,865,572,0.3498657
374,865,572,0.3404376
375,865,572,0.3453435
376,865,572,0.38530573
377,865,572,0.38434955
378,865,572,0.33815825
379,1217,580,0.41144103
379,865,572,0.23376238
380,1198,587,0.5621934
381,1180,596,0.38036704
381,865,572,0.3438909
382,865,572,0.43355572
383,865,572,0.40762588
384,865,572,0.47619784
385,865,572,0.46259466
386,865,572,0.46944654
386,892,653,0.20417392
387,865,572,0.4531553
387,892,666,0.20631692
388,865,572,0.45026436
388,893,666,0.21470787
389,865,572,0.43844405
389,893,666,0.20393255
390,865,572,0.41467828
391,865,572,0.45943698
391,892,653,0.20051754
392,865,572,0.4618953
393,865,572,0.44251153
394,865,572,0.4710369
395,865,572,0.4613915
396,865,572,0.46163777
397,865,572,0.45242375
398,865,572,0.46181205
399,865,572,0.44458196
400,865,572,0.43802518
401,865,572,0.44264892
401,892,653,0.20175491
402,865,572,0.42683697
403,865,572,0.41664836
403,775,537,0.20134436
404,865,572,0.412882
405,865,572,0.4400492
406,865,572,0.43413666
407,865,572,0.4419826
408,865,572,0.45609686
409,865,572,0.50217015
410,865,572,0.5040341
411,865,572,0.51069653
412,1251,485,0.47791648
412,865,572,0.240744
413,1202,338,0.4628548
413,1207,362,0.3452167
414,865,571,0.5254413
414,1605,669,0.20041265
415,1142,158,0.49999666
415,865,571,0.331614
416,865,571,0.4967407
