frame,x,y,prob
0,792,276,0.5054044
1,793,279,0.515546
2,797,287,0.32657388
2,1204,806,0.29773277
2,42,688,0.27476642
2,627,531,0.26909992
3,800,290,0.81259
3,36,687,0.2007222
4,802,298,0.6324663
5,805,304,0.82659155
6,808,313,0.5041647
7,811,322,0.5241296
8,813,333,0.6891531
9,815,346,0.47294155
10,816,357,0.63830996
11,819,369,0.8220988
12,820,384,0.7968757
12,52,237,0.20787114
13,821,397,0.68084276
14,823,414,0.5301812
14,1576,801,0.21270421
15,827,427,0.69806504
16,828,442,0.76799875
16,1404,446,0.21921958
17,830,458,0.6101051
17,1397,455,0.3755072
18,827,451,0.5615554
19,830,436,0.5187724
20,823,422,0.546938
20,1576,801,0.33452994
21,823,414,0.6572825
21,1576,801,0.51292706
22,822,408,0.6597415
22,1576,801,0.48350596
23,819,400,0.76628757
23,1576,801,0.49168015
24,819,396,0.8079335
24,1576,802,0.42562607
25,815,393,0.6977771
25,1576,802,0.5376855
26,814,392,0.62730986
26,1576,801,0.5323549
27,812,393,0.6498238
27,1576,802,0.5009257
28,811,395,0.5281625
28,1576,802,0.5171717
29,807,397,0.71028703
29,1576,801,0.5256571
30,804,407,0.6012982
30,1576,802,0.5249737
31,801,411,0.82693195
31,1576,802,0.5168371
32,1576,802,0.5123573
32,799,417,0.5025033
33,797,430,0.64810765
33,1576,802,0.50931823
34,792,442,0.5231191
34,1576,801,0.49531686
35,790,456,0.78397995
35,1576,801,0.5105303
36,786,471,0.8180161
36,1576,801,0.50281745
37,783,491,0.70766366
37,1573,802,0.4727245
38,778,512,0.47578916
38,1573,802,0.46729204
39,776,532,0.746186
39,1573,802,0.48349193
40,1573,802,0.4883396
40,771,558,0.42688796
40,625,531,0.41602895
41,768,586,0.5033237
41,1573,802,0.46541396
41,625,531,0.3226794
42,763,611,0.4659408
42,1573,802,0.45169362
43,751,579,0.48444596
43,1573,802,0.45532888
43,626,532,0.37572533
44,755,514,0.498436
44,1573,802,0.4863697
45,746,477,0.62683797
45,1573,802,0.49027368
46,741,454,0.67865264
46,1573,802,0.51963115
47,739,431,0.7067319
47,1573,802,0.5290884
48,737,417,0.62451863
48,1573,802,0.4995667
49,733,407,0.5377689
49,1573,802,0.507957
50,730,397,0.77477497
50,1573,802,0.47865272
51,728,391,0.5259739
51,1573,802,0.49296522
52,726,386,0.78573203
52,1573,802,0.5141114
53,725,382,0.8339186
53,1573,802,0.4211526
54,725,381,0.8065215
54,1573,802,0.51742804
55,722,383,0.75415266
55,1573,802,0.5397188
56,723,384,0.72204846
56,1573,802,0.5255348
57,718,387,0.4542948
57,1573,802,0.4259744
58,717,391,0.56624925
58,1573,802,0.4578119
