frame,x,y,prob
4,446,65,0.26377863
6,867,671,0.20930661
14,872,671,0.2636698
19,872,671,0.31433254
20,872,671,0.3533634
21,872,670,0.29150257
22,872,671,0.36024007
23,872,671,0.36505285
24,872,671,0.29847598
25,872,671,0.30600178
26,872,670,0.28494713
27,451,66,0.24901095
28,451,67,0.30115202
31,451,66,0.3612124
33,872,670,0.21364725
40,1687,340,0.20614104
64,1039,171,0.2818523
66,873,671,0.24894205
67,874,671,0.23947264
68,874,671,0.2584845
69,874,671,0.2693222
70,874,670,0.36762625
71,874,670,0.3213732
72,874,670,0.22755328
77,452,67,0.20224725
78,452,68,0.23367253
79,452,67,0.20049475
80,452,67,0.22148009
83,452,68,0.24097094
84,874,671,0.2732621
85,874,672,0.29409212
88,237,357,0.27636078
93,874,671,0.20866944
95,452,68,0.2156392
96,453,68,0.2192961
97,237,356,0.2441599
99,237,356,0.25944766
102,1623,761,0.22102149
102,875,672,0.21395834
103,1623,761,0.24952452
103,874,672,0.2473521
104,1646,744,0.2789312
104,874,672,0.25787944
104,171,253,0.2339172
105,874,672,0.26052552
105,1646,744,0.23900819
106,874,672,0.23108757
107,237,356,0.27083233
107,874,672,0.23512924
108,237,356,0.30457225
108,874,678,0.25219226
109,237,356,0.32521942
109,874,672,0.20307812
110,875,672,0.22283724
111,874,672,0.22116776
112,875,672,0.22489327
114,874,678,0.23434351
115,873,678,0.22424886
116,874,678,0.24756075
117,873,678,0.27636608
119,237,357,0.21675822
120,242,356,0.30681175
123,874,678,0.20359394
124,873,678,0.22916055
125,873,678,0.257408
126,873,678,0.25413933
127,873,678,0.2595768
128,873,678,0.267241
129,1118,488,0.28226855
129,873,678,0.24368677
130,1113,490,0.26582485
130,235,356,0.24741796
130,873,678,0.23348045
131,237,357,0.31865048
131,873,678,0.25050828
131,1102,502,0.20087199
132,238,357,0.25510854
132,873,678,0.24279045
133,873,678,0.2521664
134,873,678,0.2820956
135,873,678,0.29654592
136,873,678,0.29721197
137,873,678,0.25424615
138,873,678,0.23791136
139,873,679,0.23070903
140,873,678,0.24473387
141,873,678,0.23699613
142,873,678,0.23441441
143,873,678,0.21440883
144,873,678,0.2736853
145,873,678,0.2543433
146,874,678,0.2676357
147,873,678,0.25195032
148,873,678,0.27267906
149,873,679,0.25677383
150,873,678,0.25184217
151,874,678,0.26663265
152,874,678,0.26025417
152,237,357,0.20780845
153,874,678,0.24495293
153,237,356,0.21158639
154,874,678,0.26595992
155,237,356,0.20738359
155,874,678,0.20077641
156,237,357,0.3041308
157,237,357,0.21458517
157,874,678,0.20442334
158,874,678,0.22159892
159,874,678,0.23554592
160,873,678,0.2863421
161,874,678,0.28152224
162,873,678,0.2380242
162,38,562,0.20643406
163,873,678,0.25793636
164,874,678,0.27258396
165,874,678,0.31732047
165,237,357,0.24593118
166,237,357,0.26979136
166,873,678,0.25480184
167,243,356,0.22968495
167,873,678,0.22431295
168,243,356,0.21273908
168,873,679,0.21257024
169,873,678,0.2525189
169,242,357,0.23274261
170,243,357,0.2936297
171,237,357,0.2659228
172,873,677,0.296551
172,237,356,0.2653737
173,873,678,0.35074404
173,237,357,0.24252321
174,873,678,0.3552035
174,237,357,0.2643708
175,873,678,0.39321816
175,237,356,0.26301354
176,873,678,0.35135305
176,237,357,0.26567248
177,873,678,0.41176376
178,873,678,0.38410962
179,873,678,0.43741736
180,873,678,0.37339944
181,873,678,0.44115898
182,874,678,0.47616962
183,873,679,0.45383525
184,874,679,0.4307461
184,237,356,0.20752108
185,873,678,0.42727044
186,873,679,0.42715973
187,873,679,0.39582732
187,237,357,0.27536818
188,874,678,0.48205593
188,237,356,0.24790302
189,874,679,0.4617699
189,237,356,0.2288623
190,873,679,0.44304413
190,237,356,0.26893777
190,38,562,0.20201235
191,874,678,0.48905694
191,237,356,0.30018592
192,874,678,0.48771077
192,237,356,0.2891325
193,874,679,0.45455235
193,237,357,0.22343986
194,873,679,0.39815968
194,237,357,0.35445097
195,874,678,0.39490792
195,237,357,0.3632229
196,873,680,0.36385638
196,237,357,0.30386552
197,873,679,0.40990952
197,237,357,0.20492548
198,874,678,0.45707193
199,874,679,0.4422885
200,874,679,0.44499293
200,237,357,0.21705803
201,874,678,0.45652667
202,874,678,0.45894903
203,874,678,0.39285925
203,237,357,0.22995561
204,873,678,0.28217936
204,243,356,0.24152784
205,243,356,0.31705877
206,237,357,0.33049682
207,237,357,0.30722943
208,243,356,0.34310406
208,1120,729,0.26154125
209,243,356,0.29388514
209,1119,728,0.20965017
210,237,357,0.3253569
211,237,357,0.30943683
211,874,678,0.27154848
212,243,356,0.30448958
212,874,678,0.2895336
213,243,356,0.29371658
213,873,678,0.23595259
214,243,357,0.29503343
215,243,357,0.28655264
215,874,678,0.21494974
216,243,357,0.36088118
217,243,357,0.3952882
218,243,357,0.3826498
218,874,678,0.2277122
219,243,356,0.3899765
219,874,678,0.20760368
220,243,356,0.41551763
221,243,356,0.43769822
222,243,357,0.43851143
