frame,x,y,prob
0,356,124,0.551669
0,1399,507,0.4176117
0,1160,865,0.26118037
0,890,712,0.21947022
1,356,123,0.5781391
1,1399,507,0.41906756
1,1160,865,0.25168732
2,356,123,0.55573547
2,1399,507,0.41115996
2,1160,865,0.28612623
2,890,712,0.22038452
3,356,124,0.5639002
3,1399,507,0.4266453
3,1160,865,0.25617662
4,356,124,0.55986947
4,1399,507,0.41919357
4,1160,865,0.25610885
5,356,123,0.56022394
5,1399,507,0.41462773
5,1160,865,0.25095725
5,890,712,0.24497871
6,356,123,0.5430986
6,1399,511,0.41197765
6,890,713,0.30394143
6,1160,865,0.26710185
7,356,123,0.5510317
7,1399,507,0.40594846
7,890,713,0.2989804
7,1160,865,0.25838125
8,356,123,0.5506339
8,1399,507,0.40849888
8,1160,865,0.25059494
8,890,713,0.24722187
9,356,123,0.55054855
9,1399,507,0.4022065
9,890,712,0.2892451
9,1160,865,0.27434784
10,356,123,0.5289619
10,1399,507,0.4148027
10,1160,865,0.25094536
11,356,123,0.5104792
11,1399,507,0.4036477
11,891,711,0.24783553
11,1160,865,0.23221055
12,356,123,0.51515466
12,1399,511,0.38892758
12,890,711,0.29026312
12,1160,865,0.25061914
13,356,123,0.49934784
13,1399,507,0.40362027
13,890,712,0.24271812
13,1160,865,0.22954614
14,356,123,0.50448275
14,1399,507,0.4042112
14,890,712,0.23804487
14,1160,865,0.2165904
15,356,123,0.50959665
15,1399,507,0.40926427
15,1160,865,0.24174863
15,890,712,0.24089041
16,356,123,0.50844145
16,1399,507,0.4081349
16,890,712,0.24123463
16,1160,865,0.2310733
17,356,123,0.52203906
17,1399,507,0.42192492
17,1160,865,0.21517247
18,356,123,0.5179666
18,1399,507,0.42287564
18,1160,865,0.21011429
19,356,123,0.5273905
19,1399,507,0.42365655
19,1160,865,0.20087947
20,356,124,0.5421947
20,1399,507,0.41821098
21,356,123,0.5157348
21,1399,507,0.4295105
22,356,123,0.4989439
22,1400,507,0.43051496
23,356,123,0.5052985
23,1400,507,0.42430404
24,356,123,0.5049499
24,1400,507,0.414284
25,356,123,0.5258695
25,1400,507,0.410264
26,356,123,0.5379951
26,1401,511,0.41173694
27,356,123,0.5211435
27,1401,511,0.39627817
28,356,123,0.5023799
28,1401,511,0.4070648
29,356,123,0.43496943
29,1401,511,0.37100083
30,356,123,0.42252463
30,1401,511,0.39842835
30,592,953,0.21326374
31,356,123,0.46994087
31,1401,511,0.36505216
31,1059,68,0.22654802
31,573,924,0.20842169
32,356,124,0.516023
32,1400,507,0.3773517
32,1059,68,0.22134063
32,1160,865,0.20028445
33,356,124,0.5088398
33,1399,507,0.3305204
33,1160,865,0.26569617
33,1059,68,0.24070655
34,356,124,0.51643795
34,1399,507,0.33681792
34,1059,68,0.25764066
34,1160,865,0.25498113
35,356,124,0.51717323
35,1399,507,0.34905714
35,1160,865,0.25220042
35,1059,68,0.21166267
36,357,123,0.47867474
36,1399,507,0.2765243
36,1160,865,0.2741657
36,1059,67,0.24218653
37,356,124,0.5119263
37,1159,865,0.28974077
37,1399,507,0.28184113
37,1059,67,0.2584331
37,603,696,0.21601155
38,356,124,0.52620405
38,1159,865,0.2950809
38,1059,67,0.26724818
38,1729,245,0.2175865
38,1399,507,0.21734059
38,1445,709,0.20172678
39,356,123,0.500724
39,1729,245,0.36112386
39,1159,865,0.27656513
39,1398,507,0.24274464
39,1059,67,0.23872371
39,890,708,0.20163946
40,356,124,0.5216287
40,1729,245,0.4616992
40,1159,865,0.27248925
40,1059,67,0.23643276
40,1398,506,0.23359801
40,1445,710,0.20696472
41,1729,246,0.5749657
41,356,124,0.50851977
41,1398,506,0.2571432
41,1160,865,0.25464875
41,1059,67,0.23729889
41,1445,710,0.21425907
41,890,708,0.20396271
42,1729,245,0.574809
42,356,124,0.45479065
42,1398,506,0.31358713
42,890,708,0.24017072
42,1160,865,0.22550043
42,1059,68,0.21012671
42,1445,710,0.20724222
43,1729,245,0.5598797
43,357,123,0.4141533
43,1398,506,0.35108063
43,890,709,0.2616503
43,1160,865,0.21705997
43,1059,67,0.21340111
44,1729,245,0.4663421
44,1398,506,0.41906375
44,356,124,0.39408535
45,1398,505,0.46620938
45,357,123,0.43021733
45,1729,245,0.36448953
45,890,709,0.26177213
45,1058,68,0.21089734
45,1160,865,0.20350437
46,1398,505,0.5135846
46,357,123,0.37338436
46,891,709,0.31181836
46,1729,245,0.25121275
47,1398,505,0.52502865
47,357,123,0.31107354
47,643,572,0.2649524
48,1398,505,0.5199099
48,648,571,0.36915419
48,357,124,0.3235606
48,890,710,0.31198925
49,1398,505,0.49541387
49,890,711,0.40250483
49,653,566,0.27030823
49,357,124,0.2413818
50,658,566,0.5949488
50,1398,505,0.5096248
51,1398,504,0.48430192
51,890,711,0.4403207
51,357,123,0.29807863
51,663,566,0.26664355
52,1398,504,0.49518067
52,890,713,0.4807001
52,357,123,0.30662015
53,889,714,0.46882117
53,1398,504,0.44716397
53,356,117,0.29975128
54,889,714,0.4771562
54,1397,504,0.3549248
54,356,117,0.2812583
55,889,715,0.50039846
55,1398,504,0.43732008
55,356,116,0.33957136
56,1398,505,0.4868138
56,889,715,0.44020814
56,356,115,0.3083905
57,1398,505,0.51541877
57,890,713,0.3232617
57,356,115,0.2814255
58,1399,505,0.53474313
58,890,712,0.30733672
58,355,114,0.29428068
59,1399,505,0.5136791
59,355,113,0.36689103
59,890,712,0.3642414
60,1399,505,0.4960981
60,355,113,0.3322168
60,890,710,0.20184983
61,1729,243,0.39246675
61,355,113,0.3288946
61,1398,505,0.3189336
62,354,113,0.3161624
62,1398,504,0.29568142
62,1729,243,0.2147882
63,1729,242,0.4056681
63,707,566,0.26139513
63,1397,504,0.21405168
64,1729,242,0.49363202
64,708,565,0.25468746
64,1044,572,0.203317
65,1729,242,0.4790325
65,98,424,0.47062793
65,1045,572,0.26033625
65,1070,335,0.248226
65,1058,68,0.22935174
66,1729,242,0.47480845
66,354,111,0.26282004
66,1057,68,0.2245212
66,1070,335,0.21498275
67,1728,242,0.46403897
67,354,111,0.30762693
67,1057,68,0.24104847
67,1070,335,0.21541478
67,1045,572,0.20403875
68,1729,242,0.4781724
68,354,111,0.3227621
68,1057,68,0.25040808
68,1070,335,0.22686431
68,1045,572,0.22371736
69,354,111,0.29352793
69,1729,242,0.27691492
69,1056,69,0.24083863
69,1444,709,0.21485196
70,354,111,0.33160654
70,1056,69,0.24273902
70,1072,335,0.203075
71,353,110,0.33282974
71,1056,69,0.20048997
72,353,110,0.29507244
72,1131,566,0.2377178
72,890,709,0.23508862
72,1445,701,0.23044983
73,890,709,0.38487622
73,1056,69,0.22955638
74,890,709,0.25681585
74,1135,572,0.2558286
74,1056,69,0.22436099
75,352,109,0.24551548
75,1056,69,0.20818353
76,700,695,0.2765444
76,353,110,0.2763923
76,1056,69,0.22019434
77,1143,572,0.46932814
77,890,708,0.32266182
77,353,110,0.22427408
78,1145,567,0.42884308
78,1158,859,0.34165454
78,890,709,0.24030745
78,353,110,0.21543035
78,377,439,0.21064186
79,1148,567,0.29181764
79,353,110,0.27563995
79,1056,68,0.252883
79,890,709,0.23969708
79,1391,501,0.23347759
79,1158,859,0.22300121
79,1071,333,0.20662495
79,673,522,0.2042656
80,673,523,0.26174986
80,353,110,0.203677
80,1391,501,0.20242344
81,890,709,0.42174393
81,673,523,0.23456441
81,1159,858,0.22261626
81,1391,501,0.21525858
82,890,709,0.32953116
82,673,523,0.29714575
82,1391,501,0.2507233
82,1056,67,0.23195115
83,890,710,0.49096158
83,1391,501,0.3097178
83,768,560,0.2556933
83,673,522,0.2405356
83,1057,67,0.23066008
84,890,710,0.37935504
84,1057,66,0.26152304
84,1070,333,0.23828137
84,1391,500,0.20762913
85,889,710,0.41067016
85,353,112,0.26640972
85,1057,66,0.26136813
85,1070,332,0.22465265
85,1391,500,0.21672499
86,889,710,0.5307986
86,352,111,0.23478648
86,1391,500,0.22453293
86,1057,66,0.21178822
87,889,710,0.5543393
87,1057,66,0.27200222
87,352,111,0.21728966
87,1391,500,0.208383
88,889,710,0.50165576
88,1057,66,0.2812092
88,1159,852,0.24095735
88,788,567,0.24075721
89,889,710,0.4964044
89,1057,66,0.26459053
89,1159,852,0.24973053
89,673,522,0.23797469
89,353,111,0.23663326
90,889,710,0.59695935
90,1057,66,0.27043125
90,1159,852,0.23644319
90,353,111,0.20083511
91,889,710,0.59340686
91,1057,65,0.2988396
91,1158,852,0.290113
91,352,111,0.23625085
91,1731,236,0.22902763
92,889,710,0.55530703
92,1058,65,0.34374034
92,1158,852,0.31010702
92,1731,236,0.30987456
93,889,710,0.49969143
93,1057,65,0.3119939
93,1158,852,0.3101673
93,806,568,0.21249168
94,889,710,0.6068308
94,1057,65,0.32273707
94,1158,852,0.27129906
95,889,710,0.559444
95,1058,64,0.36610112
95,1158,852,0.28465894
96,889,710,0.43745843
96,1057,64,0.38404778
96,1158,852,0.2834073
97,889,710,0.49369588
97,1058,64,0.45137793
97,1158,852,0.24917832
97,352,110,0.24321833
98,889,710,0.4945235
98,1058,64,0.4388532
98,1158,852,0.2752915
99,889,710,0.51165104
99,1058,64,0.43473017
99,1158,852,0.30320758
100,1058,64,0.44701803
100,889,710,0.39866823
100,1158,852,0.30358365
101,1058,64,0.4499483
101,889,710,0.4087246
101,1159,852,0.32305512
102,1058,64,0.4809044
102,889,710,0.4053601
102,1158,852,0.26085597
102,352,111,0.24726845
103,1058,64,0.4725912
103,889,710,0.32107714
103,1158,852,0.25470006
103,352,111,0.2316803
103,1060,678,0.2108611
104,1058,64,0.4743225
104,889,710,0.26979005
104,1158,852,0.26662165
104,352,111,0.20377508
105,1058,64,0.49914518
105,889,709,0.3164922
105,1158,852,0.26171616
106,1058,64,0.50077033
106,889,709,0.30916947
106,1158,852,0.25456285
106,352,111,0.2265772
107,1058,63,0.4924966
107,889,709,0.30621964
107,1158,852,0.26369077
107,54,497,0.21886142
108,1058,63,0.47676685
108,1159,852,0.307219
108,889,709,0.259784
108,351,111,0.22937234
108,1221,849,0.207713
109,1058,63,0.50245464
109,1159,852,0.33330938
109,888,710,0.27454463
109,1221,848,0.25102234
109,352,111,0.20296869
110,1059,63,0.5065551
110,1159,852,0.351506
110,1221,848,0.29904532
110,351,112,0.27199316
110,889,710,0.21719752
111,1058,63,0.50453764
111,1159,852,0.38212463
111,351,111,0.3357451
111,1221,848,0.30637
111,1189,834,0.21011329
112,1059,63,0.49024767
112,1159,852,0.3631015
112,351,111,0.31281978
112,1221,848,0.3010143
113,1059,63,0.49860072
113,1159,852,0.37963995
113,351,111,0.2550038
113,1221,848,0.24722584
113,1151,737,0.21121588
113,889,709,0.20739308
114,1059,63,0.4881525
114,1159,852,0.33700243
114,351,112,0.21798626
114,1221,848,0.21379156
114,888,709,0.2051911
114,1151,737,0.2040873
115,1059,63,0.3496835
115,1159,852,0.3230437
115,351,112,0.273632
115,887,550,0.25173625
116,1059,62,0.4385923
116,1158,852,0.29859236
116,351,111,0.283263
116,889,709,0.21760315
117,1059,62,0.4203363
117,1158,852,0.34399667
117,351,112,0.27806577
117,1151,737,0.21688983
118,1059,62,0.47495508
118,1158,852,0.30690417
118,351,111,0.28100583
119,1059,62,0.3621667
119,351,112,0.21462494
120,1059,62,0.4448087
120,351,112,0.20259032
121,1059,57,0.4602612
121,351,112,0.21123233
122,1059,62,0.31956
123,1059,62,0.33840957
123,62,443,0.3067865
123,1157,858,0.22860242
124,78,437,0.40134898
124,1058,63,0.36641604
124,1158,858,0.28560352
124,1151,697,0.2167331
125,95,428,0.638347
125,1158,858,0.4195395
125,1059,62,0.4066826
125,1151,697,0.32683817
125,1151,738,0.20858012
125,1060,678,0.20078604
126,110,423,0.4823138
126,1059,62,0.43388394
126,1151,697,0.38750497
126,1157,858,0.34403256
126,1151,738,0.22047609
126,1061,678,0.2186462
127,1151,698,0.42621315
127,1157,857,0.3947445
127,1059,63,0.3424564
127,125,417,0.32391807
127,1061,678,0.21406531
127,1151,738,0.20361933
128,1151,699,0.42413962
128,139,416,0.3931127
128,1059,63,0.33255696
128,1157,858,0.33188963
129,152,416,0.41560385
129,1151,698,0.30013168
129,1059,63,0.22988665
130,162,417,0.35920903
130,1151,697,0.2430276
131,175,422,0.401473
131,1151,698,0.26261348
132,184,423,0.42628148
132,1157,852,0.24657579
132,1151,698,0.24419044
133,193,428,0.4431175
133,1156,858,0.29479712
133,907,670,0.2676742
133,1151,698,0.24680094
134,205,433,0.4851023
134,907,670,0.45484036
135,214,442,0.60209787
135,906,670,0.34162873
136,226,452,0.39193
136,906,670,0.24615218
137,232,459,0.53923243
137,906,669,0.30367604
137,1152,859,0.20585161
138,242,470,0.4294309
138,1157,858,0.2949977
138,906,669,0.20402838
139,247,478,0.3073734
139,1157,858,0.26138464
140,258,493,0.41779512
140,865,681,0.2649725
140,1157,859,0.25706953
141,263,506,0.34421614
141,865,683,0.33502275
141,1158,860,0.24421059
142,350,115,0.34864524
142,866,694,0.30648723
142,850,580,0.23237221
143,350,115,0.3801111
143,867,696,0.28427383
144,350,114,0.34033892
144,873,695,0.34011513
144,1059,63,0.22110596
145,874,695,0.29878363
145,1058,64,0.24477175
147,1058,64,0.27021247
148,1058,63,0.29366526
149,1059,64,0.30000025
150,1058,63,0.24113211
151,1059,64,0.27539852
152,1059,63,0.25818637
153,1059,63,0.25201374
