frame,x,y,prob
24,1803,873,0.48050115
25,1850,1028,0.28250974
25,1746,805,0.22696313
27,1733,904,0.4821878
28,1609,805,0.20895852
31,111,1028,0.2827297
31,1371,306,0.2625019
46,814,758,0.22866988
47,815,758,0.24096891
48,815,758,0.25959554
49,816,758,0.28933367
50,817,758,0.2993144
51,817,759,0.3071131
52,818,759,0.27124962
53,1504,416,0.5995789
54,1497,426,0.45805067
57,1371,772,0.21293542
58,1222,755,0.20508052
59,1374,774,0.29757527
59,1223,756,0.27363297
60,1374,775,0.22878106
60,1224,756,0.20184457
62,790,616,0.22940463
64,1374,775,0.22768901
65,1385,632,0.28213915
66,1405,641,0.2104481
66,1224,754,0.20844729
67,1225,754,0.2505358
68,1225,754,0.28304732
69,1225,755,0.29333845
70,1225,755,0.20434746
72,153,76,0.30431116
73,129,760,0.20309432
74,129,760,0.21137159
75,129,760,0.2449422
76,129,760,0.2130668
77,50,708,0.2512248
77,128,759,0.24743989
77,144,667,0.24737188
79,53,710,0.23408191
79,144,667,0.21455054
80,363,754,0.26953846
80,1046,20,0.250032
80,212,47,0.24163799
81,363,754,0.32439604
81,1047,20,0.28404906
81,53,709,0.27688104
82,363,754,0.41699988
82,1047,20,0.268111
83,363,754,0.41115904
83,1047,20,0.27779964
83,1774,504,0.26185763
84,364,754,0.27714837
84,1053,20,0.22640237
85,364,754,0.24292834
85,213,46,0.20616928
86,212,42,0.26090196
86,365,754,0.25749144
87,212,42,0.34069598
87,365,755,0.21361658
88,213,42,0.31821942
88,366,754,0.31292626
89,214,42,0.32856464
89,367,754,0.30223796
90,214,42,0.43497548
90,367,755,0.20573798
91,215,42,0.4685729
91,1055,19,0.24280208
92,215,41,0.35748687
92,1055,19,0.26752955
93,215,39,0.35118756
93,1055,19,0.23831387
93,797,618,0.23203073
94,216,38,0.37335843
94,798,617,0.27325645
94,1056,19,0.21076882
95,217,39,0.43015698
95,798,617,0.2115879
96,216,41,0.44580683
97,217,41,0.35588187
97,1058,18,0.21648808
98,1058,18,0.28458944
98,799,617,0.2003247
99,1058,19,0.21506017
102,1238,755,0.21731293
102,1707,501,0.21674068
103,1714,492,0.42213148
104,1719,488,0.31117675
104,227,41,0.2306001
105,1722,487,0.28114688
105,228,40,0.21122582
106,1728,485,0.31683928
106,381,752,0.22521499
106,229,41,0.20789541
108,229,37,0.2693404
109,232,38,0.20754164
109,1070,18,0.20482388
110,232,38,0.23391654
112,1761,503,0.25307828
113,236,37,0.21967763
117,244,38,0.21609764
