frame,x,y,prob
0,1180,298,0.4328671
0,448,474,0.41163215
1,1183,298,0.54705024
1,447,474,0.41573286
2,1187,298,0.46024165
2,447,474,0.3978009
3,1191,298,0.42900765
3,447,474,0.41057134
4,447,475,0.3958206
4,1193,299,0.34111375
5,448,474,0.4064674
5,1196,299,0.20723239
6,448,474,0.4120273
6,1201,302,0.2393714
7,448,474,0.43437004
7,1204,303,0.32021642
8,447,474,0.43074146
8,1207,305,0.35161936
9,448,475,0.41828647
9,1211,305,0.29938945
10,1213,307,0.4445771
10,448,475,0.42918712
11,448,475,0.44126546
11,1216,308,0.3411185
12,448,475,0.44050536
12,1218,312,0.29309615
13,448,475,0.448717
13,1197,436,0.22305289
14,448,475,0.44935468
14,1197,436,0.20689481
15,448,475,0.44101313
15,1228,321,0.3119136
16,448,475,0.4410637
16,1197,436,0.21299233
17,448,475,0.46134448
17,1197,436,0.20037337
18,448,475,0.44269323
18,1031,464,0.20421088
18,1197,436,0.20077106
19,448,475,0.41545722
19,1028,464,0.21188276
20,448,474,0.41401687
21,448,475,0.3886174
22,448,475,0.332263
23,448,475,0.30394787
23,1199,436,0.23779541
24,451,466,0.33114746
24,1199,437,0.2262571
25,452,466,0.37211362
26,452,466,0.3832966
27,452,466,0.25957185
28,452,466,0.39913663
29,452,467,0.3961063
30,452,467,0.38574755
30,1202,437,0.21580413
31,453,467,0.37078753
31,1202,437,0.2534864
31,1204,328,0.20493706
32,453,473,0.38804832
32,1205,328,0.36195385
33,454,473,0.4109734
33,1205,328,0.21760759
34,454,472,0.40454462
35,455,472,0.34913647
35,1206,328,0.34602016
35,675,183,0.27860072
36,1207,327,0.42321283
36,456,468,0.36528
37,457,467,0.39750934
37,1208,353,0.2675034
38,1201,342,0.37721622
38,457,467,0.3521612
38,446,37,0.22349782
39,457,466,0.41231102
40,458,467,0.42917544
41,458,467,0.41613618
42,458,468,0.3715886
42,383,45,0.22351216
43,462,467,0.42064932
43,1148,307,0.24004169
43,451,36,0.22002749
44,463,467,0.47182485
44,1141,302,0.46403542
44,754,54,0.21870758
45,1133,297,0.65640736
45,464,467,0.50709003
45,753,55,0.25367007
45,452,35,0.21566328
46,1126,292,0.60619223
46,465,468,0.47231972
46,686,181,0.30431318
47,1117,288,0.6019514
47,466,468,0.45648193
48,1111,284,0.6301036
48,466,468,0.46296176
48,455,36,0.21626444
49,1105,282,0.5796329
49,467,468,0.44596913
49,455,36,0.30762607
50,1097,278,0.65253973
50,467,468,0.45855626
51,1092,277,0.68348634
51,468,467,0.4322462
52,1086,274,0.6811051
52,468,467,0.41752744
53,1081,273,0.59331274
53,468,467,0.4038592
54,1075,271,0.624979
54,468,468,0.39276463
55,1068,269,0.449283
55,468,467,0.3739777
56,1064,268,0.660219
56,468,467,0.35340104
56,305,114,0.2565137
57,1058,268,0.6127531
57,305,122,0.3563705
57,468,467,0.29285365
58,1053,267,0.76038927
58,305,128,0.47355467
58,468,467,0.26273492
59,305,135,0.74598384
59,1048,268,0.6146007
59,468,467,0.21147855
60,1044,267,0.75575376
60,306,142,0.56189173
60,468,468,0.28914374
61,1038,268,0.53359616
61,468,467,0.3402144
61,306,149,0.24516034
62,1034,268,0.6279026
62,471,467,0.3742435
63,1029,270,0.466936
63,471,467,0.38879693
64,1025,271,0.7259962
64,471,466,0.3895861
65,1021,273,0.6421837
65,471,467,0.37661368
66,1017,275,0.72552425
66,472,467,0.3394665
67,1013,276,0.5801494
67,305,193,0.3905282
67,468,473,0.20912057
68,1008,277,0.40176287
68,468,474,0.22896907
68,1058,308,0.207482
69,1005,278,0.45706543
69,468,474,0.29653627
70,1001,281,0.5476533
70,471,473,0.33504164
71,997,284,0.6503225
71,471,473,0.35299292
72,993,286,0.8092138
72,472,473,0.36770827
73,991,288,0.5698661
73,472,473,0.34969097
73,305,237,0.2054894
74,986,290,0.60819197
74,305,245,0.5341108
74,472,467,0.32900712
75,983,293,0.76947385
75,306,252,0.592235
75,472,467,0.3083251
76,978,296,0.4717983
76,305,258,0.436313
76,472,467,0.29797104
77,976,301,0.4452416
77,305,266,0.3655279
77,472,467,0.326588
78,974,303,0.40070835
78,472,473,0.3458573
79,472,473,0.3629125
79,972,305,0.2450672
80,472,467,0.36540154
81,1008,285,0.39049983
81,472,473,0.37273994
82,1026,268,0.47756287
82,472,466,0.3751868
83,1042,256,0.5340823
83,472,466,0.36393055
84,1057,247,0.5899132
84,472,466,0.36770934
85,1068,241,0.44915965
85,472,467,0.35263565
85,461,41,0.20312077
86,472,466,0.34915587
86,1083,233,0.3088132
87,472,466,0.36234245
88,472,474,0.3575902
