frame,x,y,prob
0,585,106,0.5453014
1,584,106,0.49109715
1,768,482,0.21793108
2,585,106,0.41007784
2,768,482,0.24331546
3,585,106,0.41757104
3,768,482,0.27208668
3,202,494,0.22328
4,585,106,0.4105938
4,768,482,0.28718
5,585,106,0.46962643
6,585,106,0.5094682
7,585,106,0.54683197
8,681,168,0.48986506
8,585,106,0.26007095
9,682,175,0.6896481
10,682,181,0.49805212
11,682,185,0.7351707
11,203,495,0.27219397
12,684,192,0.6778621
12,202,495,0.3539879
13,684,197,0.64213
13,202,495,0.5879237
14,686,204,0.58683425
14,202,495,0.53630894
15,768,482,0.29522774
15,688,212,0.24325156
15,585,107,0.23538019
15,203,495,0.21152048
16,768,482,0.3135908
16,202,495,0.2943463
16,686,221,0.29037735
17,768,482,0.33318305
17,202,495,0.2762232
17,585,106,0.20493144
18,768,482,0.33739793
18,585,106,0.25990742
19,665,188,0.47831127
20,653,185,0.5251716
20,585,106,0.27905408
20,768,482,0.25164527
21,646,181,0.45334795
21,768,482,0.26604205
22,768,482,0.3503163
22,585,106,0.22697352
23,585,106,0.43766913
23,768,482,0.26226655
24,585,106,0.4731829
24,768,482,0.2044864
25,585,106,0.5182495
25,203,495,0.21892676
26,585,106,0.5602934
27,585,106,0.5265766
28,585,106,0.5032609
29,585,106,0.4371622
30,585,106,0.40512434
31,585,106,0.5227418
32,585,106,0.5410094
32,1214,457,0.22847174
33,585,106,0.5290156
33,1215,457,0.27429974
34,585,106,0.4970938
34,1215,457,0.24202344
34,768,482,0.2377082
35,585,106,0.40703085
35,1216,458,0.31957093
35,768,482,0.2741855
36,585,106,0.424637
36,1216,457,0.27636996
36,768,482,0.23965682
37,585,106,0.40061554
37,1216,458,0.36122224
37,768,482,0.26432183
38,585,106,0.47740993
38,1216,458,0.40673316
38,768,482,0.25268775
39,585,106,0.34600064
39,1216,458,0.29709142
39,768,481,0.29380262
40,585,106,0.39161748
40,1216,459,0.27829647
40,768,482,0.26314637
41,585,106,0.3667808
41,768,482,0.28276998
41,1216,459,0.2471853
42,1217,461,0.44288385
42,585,106,0.40100065
42,768,481,0.24039276
43,1217,461,0.47729453
43,585,106,0.34327194
43,768,482,0.24598217
44,1217,461,0.54948896
44,585,106,0.36041102
44,768,482,0.21551149
45,1217,461,0.5243774
45,585,106,0.36022905
46,1216,462,0.57208633
46,585,106,0.30503204
46,768,482,0.24124728
47,1216,462,0.5227017
47,585,106,0.33906004
47,768,482,0.27500063
48,1216,463,0.4915521
48,585,106,0.3702511
48,768,482,0.23923656
49,1216,463,0.5049471
49,585,106,0.33270708
49,768,481,0.24712923
50,1216,463,0.45792985
50,585,106,0.41074705
50,768,481,0.21949407
51,1216,464,0.4806409
51,585,106,0.36897382
51,768,481,0.20728643
52,1217,465,0.51734114
52,585,106,0.3872816
