frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,1332.35,726.587,1299.96,718.634
000000000000,48.5222,690.538,44.4895,690.321
000000000000,333.467,694.427,273.242,682.278
000000000000,634.205,782.666,714.485,782.475
000000000005,1340.16,726.513,1296.21,726.437
000000000005,333.575,690.29,277.413,682.281
000000000005,630.334,782.538,718.403,782.47
000000000005,48.6169,690.452,44.6366,686.581
000000000010,1332.23,726.474,1272.01,722.697
000000000010,337.381,690.357,289.26,686.421
000000000010,630.211,782.567,722.383,770.583
000000000010,48.487,690.532,44.7814,690.347
000000000015,1332.29,726.664,1268.0,734.478
000000000015,626.368,782.585,746.473,778.714
000000000015,333.452,694.402,293.272,690.385
000000000015,44.7092,690.446,44.7625,686.543
000000000020,1328.24,730.551,1268.17,742.545
000000000020,337.434,686.479,289.364,690.269
000000000020,44.7995,690.427,44.7623,686.561
000000000020,626.113,770.665,746.438,778.636
000000000025,1328.32,726.634,1268.13,738.525
000000000025,48.493,690.359,44.8352,690.247
000000000025,345.453,690.274,285.278,686.433
000000000025,666.286,778.56,746.423,778.632
000000000030,345.448,682.35,281.314,686.316
000000000030,1332.09,726.609,1268.06,730.579
000000000030,48.5674,690.453,44.8106,686.542
000000000030,674.325,774.687,742.491,778.551
000000000030,1227.9,650.313,0.0,0.0
000000000035,349.469,682.326,281.311,686.283
000000000035,1328.24,726.644,1268.1,734.459
000000000035,666.32,770.665,746.412,778.618
000000000035,44.8237,690.339,44.8338,686.486
000000000035,1199.9,686.382,0.0,0.0
000000000040,353.409,674.386,281.333,686.348
000000000040,1332.05,730.539,1268.07,734.511
000000000040,48.537,690.294,48.4719,686.373
000000000040,654.255,778.715,742.603,778.56
000000000040,1203.98,682.442,1203.76,678.478
000000000045,357.435,678.402,285.343,686.3
000000000045,1328.31,726.595,1272.0,734.488
000000000045,662.3,782.722,746.555,778.639
000000000045,48.4962,690.312,44.7819,686.425
000000000045,1203.95,686.265,1203.89,670.409
000000000050,357.48,682.452,281.346,686.365
000000000050,44.8201,690.49,48.5199,686.471
000000000050,1324.05,726.596,1268.02,734.535
000000000050,662.406,782.596,734.534,774.67
000000000050,1187.81,686.251,1175.75,678.435
000000000055,357.469,678.301,289.262,686.347
000000000055,1300.04,726.453,1267.9,726.655
000000000055,658.273,782.54,726.484,774.616
000000000055,48.5282,690.451,48.4881,686.47
000000000055,1179.72,682.452,1171.66,678.37
000000000060,349.499,686.288,285.326,686.422
000000000060,1299.99,726.462,1267.92,730.554
000000000060,658.296,782.533,726.618,770.617
000000000060,44.5613,686.546,44.5545,686.544
000000000060,1163.8,690.265,1163.72,686.556
000000000065,1299.96,722.729,1267.85,722.673
000000000065,353.408,678.447,285.276,686.419
000000000065,658.411,778.626,734.595,770.698
000000000065,40.6604,698.468,36.5383,694.473
000000000065,1155.76,690.584,1115.55,686.48
000000000065,0.0,0.0,0.0,0.0
000000000065,0.0,0.0,0.0,0.0
000000000070,1299.96,726.525,1268.02,726.612
000000000070,662.42,778.639,738.484,774.676
000000000070,345.431,682.353,277.394,686.353
000000000070,40.5815,698.377,0.0,0.0
000000000070,1147.65,690.438,1107.53,686.578
000000000075,1296.22,726.619,1268.16,730.593
000000000075,662.36,778.627,742.528,778.55
000000000075,341.448,686.329,277.278,686.329
000000000075,1115.59,686.451,1107.62,686.425
000000000075,0.0,0.0,0.0,0.0
000000000080,1296.2,726.672,1268.03,734.503
000000000080,317.34,686.447,277.197,686.345
000000000080,662.398,778.688,738.493,774.704
000000000080,1107.53,686.457,1103.54,682.276
000000000080,0.0,0.0,0.0,0.0
000000000085,1296.18,722.722,1268.0,726.53
000000000085,301.485,686.474,277.365,686.238
000000000085,662.349,778.727,738.588,774.599
000000000085,1091.49,686.402,1087.5,686.327
000000000085,52.6045,702.449,0.0,0.0
000000000090,1296.12,726.536,1267.95,726.652
000000000090,662.287,782.471,730.48,770.676
000000000090,285.35,686.518,277.29,682.462
000000000090,1075.58,690.273,1075.67,686.311
000000000090,64.6088,690.623,0.0,0.0
000000000095,289.303,686.53,285.261,682.263
000000000095,1296.12,726.451,1267.92,726.665
000000000095,646.278,778.715,730.54,770.678
000000000095,48.6248,686.27,56.6532,690.349
000000000095,1071.43,686.288,1075.43,690.271
000000000100,1295.89,726.471,1264.15,726.527
000000000100,650.315,778.557,718.475,766.619
000000000100,285.377,686.406,293.317,682.304
000000000100,56.6153,690.541,56.7513,690.376
000000000100,1075.61,690.269,1031.34,686.324
000000000105,1296.08,722.64,1267.91,726.447
000000000105,52.7814,690.311,60.6336,686.474
000000000105,1075.47,694.402,1019.29,690.4
000000000105,305.25,690.429,305.427,686.384
000000000105,650.213,770.628,718.512,766.646
000000000110,1296.14,722.662,1267.95,726.606
000000000110,60.653,690.372,64.7164,686.435
000000000110,1051.37,690.594,1027.4,690.471
000000000110,305.403,686.471,301.443,686.283
000000000110,658.412,778.612,722.651,762.688
000000000115,1296.2,726.473,1268.03,726.656
000000000115,1035.44,690.398,1031.26,690.331
000000000115,56.7127,690.342,60.6848,686.479
000000000115,658.323,774.578,722.695,766.63
000000000115,309.476,686.268,305.422,682.274
000000000120,1027.33,694.516,1011.31,690.45
000000000120,1296.18,726.542,1268.01,726.614
000000000120,662.393,778.627,726.519,766.64
000000000120,56.7466,690.275,64.6574,686.453
000000000120,337.335,682.369,333.468,674.367
000000000125,1039.53,698.391,1015.33,694.43
000000000125,361.489,706.453,333.43,694.448
000000000125,1299.95,722.715,1268.07,730.517
000000000125,56.6412,690.397,76.5751,690.249
000000000125,662.399,774.667,726.613,762.643
000000000130,1296.22,722.636,1268.22,726.595
000000000130,662.375,778.726,730.534,766.582
000000000130,365.399,678.437,333.514,666.307
000000000130,48.5774,686.502,60.6016,686.356
000000000130,1039.41,694.383,0.0,0.0
000000000135,1300.05,722.342,1268.25,722.683
000000000135,369.611,702.468,333.576,690.357
000000000135,662.344,774.708,726.532,766.675
