frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,622.128,947.025,686.243,931.056
000000000000,891.024,834.867,906.977,830.774
000000000000,132.909,702.425,40.5294,710.441
000000000000,814.625,710.455,818.909,706.408
000000000005,622.146,947.045,686.246,931.059
000000000005,891.006,834.8,898.939,834.805
000000000005,80.7189,710.542,36.5074,694.553
000000000005,814.723,710.447,818.857,706.482
000000000010,894.94,838.723,891.057,830.794
000000000010,622.159,946.987,686.234,931.039
000000000010,80.6307,718.313,32.5694,690.329
000000000010,826.853,714.399,814.769,706.463
000000000015,622.228,946.955,686.274,931.025
000000000015,826.783,714.482,802.659,706.423
000000000015,891.055,834.891,890.987,830.799
000000000015,92.8052,706.505,76.5895,714.471
000000000020,818.742,718.444,786.896,706.509
000000000020,622.297,943.275,686.202,927.03
000000000020,891.061,834.772,887.11,830.768
000000000020,76.6505,714.338,8.48946,682.399
000000000020,0.0,0.0,0.0,0.0
000000000025,818.742,718.469,794.669,714.4
000000000025,622.229,946.971,686.2,927.067
000000000025,894.984,838.747,887.042,834.779
000000000025,84.7301,718.285,0.0,0.0
000000000025,0.0,0.0,96.7243,690.571
000000000030,810.61,718.325,786.884,710.458
000000000030,622.225,946.963,686.226,923.152
000000000030,895.012,838.771,887.015,834.791
000000000030,96.7189,694.38,84.8545,694.451
000000000030,0.0,0.0,0.0,0.0
000000000035,802.762,714.424,786.801,702.42
000000000035,622.274,943.247,686.25,923.085
000000000035,894.94,838.863,890.918,838.809
000000000035,108.858,698.404,84.8054,706.424
000000000040,810.643,714.465,786.817,702.501
000000000040,895.003,838.8,890.938,834.876
000000000040,622.196,943.265,682.35,923.075
000000000040,84.7198,694.438,80.871,690.559
000000000040,0.0,0.0,0.0,0.0
000000000045,802.717,714.463,782.594,694.576
000000000045,622.15,947.014,678.327,919.185
000000000045,894.92,834.809,890.95,830.807
000000000045,0.0,0.0,80.7082,694.446
000000000045,0.0,0.0,0.0,0.0
000000000050,798.783,722.325,782.575,718.5
000000000050,891.0,834.778,890.927,822.9
000000000050,622.114,946.971,678.352,919.19
000000000050,52.7421,694.544,0.0,0.0
000000000050,0.0,0.0,0.0,0.0
000000000055,810.681,722.361,774.575,718.349
000000000055,890.944,834.794,887.094,826.742
000000000055,622.187,947.012,678.298,923.086
000000000055,80.6989,694.472,76.6249,702.489
000000000060,806.76,722.454,770.56,722.46
000000000060,887.096,834.784,890.981,830.865
000000000060,622.141,943.264,678.308,919.101
000000000060,0.0,0.0,0.0,0.0
000000000060,104.675,686.345,84.7479,690.332
000000000065,790.761,722.427,754.778,722.395
000000000065,622.175,943.188,678.3,919.112
000000000065,883.161,834.781,883.161,834.819
000000000070,794.737,718.538,766.576,722.501
000000000070,875.013,822.863,895.006,822.797
000000000070,622.254,943.082,678.409,919.177
000000000075,874.978,826.765,890.993,822.856
000000000075,622.094,942.964,678.424,923.074
000000000075,790.776,718.589,766.645,722.463
000000000080,878.747,826.754,891.04,822.885
000000000080,622.051,943.027,678.401,919.086
000000000080,786.854,722.511,762.598,722.715
000000000085,622.098,943.037,678.432,919.062
000000000085,878.755,826.769,891.02,826.747
000000000085,786.853,722.601,766.569,726.59
000000000090,622.052,943.057,678.408,919.128
000000000090,878.72,822.938,894.995,822.875
000000000090,786.805,718.665,758.625,726.459
000000000095,874.974,826.744,887.075,822.892
000000000100,670.395,942.96,674.392,923.01
000000000100,0.0,0.0,786.636,706.463
000000000105,906.934,818.845,919.094,826.779
000000000105,702.469,931.008,0.0,0.0
000000000105,0.0,0.0,0.0,0.0
000000000110,874.817,830.832,887.013,822.828
000000000110,0.0,0.0,0.0,0.0
000000000110,682.313,947.153,722.439,887.053
000000000115,806.692,718.598,782.579,722.541
000000000115,874.929,830.753,895.007,826.784
000000000115,0.0,0.0,0.0,0.0
000000000120,810.635,718.479,778.738,714.557
000000000120,874.92,826.897,899.029,822.909
000000000120,618.191,947.101,666.352,919.202
000000000120,0.0,0.0,0.0,0.0
000000000125,622.006,947.239,670.334,931.129
000000000125,810.753,718.573,782.647,718.425
000000000125,874.95,830.833,899.028,826.766
000000000125,0.0,0.0,0.0,0.0
000000000130,874.973,830.844,902.984,826.784
000000000130,810.815,718.496,778.704,718.364
000000000130,618.295,947.165,670.362,931.073
000000000130,0.0,0.0,0.0,0.0
000000000135,878.712,830.777,906.978,826.76
000000000135,818.661,718.642,774.629,714.547
000000000135,622.225,947.176,662.363,935.067
000000000135,0.0,0.0,0.0,0.0
000000000140,822.886,718.625,774.585,718.433
000000000140,622.177,946.987,678.347,923.072
000000000140,874.934,830.794,903.037,826.809
000000000140,0.0,0.0,0.0,0.0
000000000145,622.168,947.08,678.322,931.046
000000000145,874.952,826.89,903.064,826.803
000000000145,822.886,718.6,782.761,706.497
000000000145,0.0,0.0,0.0,0.0
000000000145,10.4595,686.274,10.4378,686.384
000000000150,622.136,947.055,678.414,935.068
000000000150,874.959,826.863,906.98,826.755
000000000150,0.0,0.0,0.0,0.0
000000000150,822.778,718.634,790.861,714.496
000000000150,0.0,0.0,10.4068,710.373
000000000155,874.98,826.881,903.007,826.851
000000000155,622.099,947.12,678.385,935.013
000000000155,0.0,0.0,0.0,0.0
000000000155,822.878,718.396,810.7,710.447
000000000155,0.0,0.0,0.0,0.0
000000000160,622.052,947.124,682.245,935.006
000000000160,874.997,830.758,906.968,826.794
000000000160,0.0,0.0,0.0,0.0
000000000160,826.79,718.472,814.648,714.435
000000000160,0.0,0.0,0.0,0.0
000000000165,878.74,830.745,906.969,826.766
000000000165,622.069,947.077,678.411,931.018
000000000165,152.902,1047.5,200.982,1043.3
000000000165,822.904,718.4,814.76,710.501
000000000165,68.635,686.517,0.0,0.0
000000000170,622.113,947.039,682.331,931.049
000000000170,878.718,830.78,907.041,826.758
000000000170,116.816,1067.38,181.117,1067.47
000000000170,826.889,718.386,814.661,710.5
000000000170,0.0,0.0,0.0,0.0
000000000175,878.763,830.742,910.966,822.936
000000000175,622.101,947.086,682.276,931.121
000000000175,160.926,1007.3,189.0,1043.49
000000000175,830.773,718.421,818.962,714.522
000000000180,878.793,830.745,907.045,826.775
000000000180,622.142,947.014,682.322,935.036
000000000180,144.971,983.307,205.152,1003.28
000000000180,842.758,722.402,818.628,718.436
000000000180,84.718,690.353,10.4754,686.421
000000000185,622.142,947.091,682.241,935.111
000000000185,878.753,826.888,907.015,826.772
000000000185,148.878,979.21,201.083,927.02
000000000185,88.715,686.49,10.4802,686.534
000000000185,838.755,722.417,818.878,718.391
000000000190,622.159,947.034,682.37,935.044
000000000190,156.967,943.247,205.035,919.184
000000000190,878.793,826.888,906.984,826.768
000000000190,842.738,722.408,826.853,718.355
000000000190,88.6858,690.318,0.0,0.0
000000000195,622.214,947.072,682.404,938.994
000000000195,878.823,826.854,910.932,826.771
000000000195,209.181,911.162,229.212,915.091
000000000195,84.7826,690.471,0.0,0.0
000000000195,842.767,722.625,834.793,722.397
000000000200,878.808,830.752,906.995,826.831
000000000200,622.175,947.009,678.427,935.032
000000000200,245.1,907.001,245.149,894.994
000000000200,846.817,722.462,822.832,722.386
000000000200,84.7334,690.478,0.0,0.0
000000000205,878.723,826.867,911.003,822.9
000000000205,622.178,947.045,682.263,935.072
000000000205,237.169,870.929,281.312,858.864
000000000205,84.7735,690.441,0.0,0.0
000000000205,842.811,722.354,822.779,718.429
000000000210,878.71,830.745,910.937,822.889
000000000210,622.23,947.074,682.309,935.044
000000000210,237.117,854.944,285.357,846.709
000000000210,84.6665,690.438,0.0,0.0
000000000210,846.748,722.464,818.961,718.652
000000000215,878.72,826.879,910.983,822.87
000000000215,622.226,947.108,678.441,938.984
000000000215,249.24,830.869,293.222,834.85
000000000215,846.764,722.428,818.959,718.556
000000000215,80.9482,690.374,0.0,0.0
000000000220,874.942,826.817,910.997,822.79
000000000220,622.181,947.125,682.267,938.977
000000000220,269.341,834.854,293.262,838.794
000000000220,84.7843,690.424,0.0,0.0
000000000220,842.833,722.344,830.805,718.375
000000000225,878.715,826.869,910.929,822.851
000000000225,253.179,818.7,285.332,814.718
