frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,1135.73,878.921,1211.91,883.106
000000000000,910.964,846.73,882.8,850.973
000000000000,1797.51,782.51,1785.49,782.653
000000000000,1677.07,754.498,1621.05,742.6
000000000005,1135.62,878.941,1211.8,883.014
000000000005,1677.16,750.717,1621.14,742.481
000000000005,911.022,846.828,882.867,851.011
000000000005,1809.46,786.611,1777.48,786.604
000000000010,1135.61,879.006,1207.86,882.992
000000000010,911.083,846.846,883.175,850.949
000000000010,1673.19,750.633,1620.97,738.532
000000000010,1809.42,786.565,1789.45,786.673
000000000015,1135.5,878.939,1207.81,882.997
000000000015,910.837,850.76,894.999,851.039
000000000015,1677.14,750.684,1621.08,742.582
000000000015,1801.52,790.665,1777.45,786.726
000000000020,1131.7,878.926,1204.01,883.038
000000000020,911.066,850.755,902.935,850.754
000000000020,148.852,634.313,156.947,650.319
000000000020,1677.19,750.47,1625.02,734.585
000000000020,1781.45,802.69,1781.32,794.714
000000000020,0.0,0.0,842.897,690.25
000000000025,910.991,850.845,887.114,854.825
000000000025,1135.57,878.937,1207.89,883.032
000000000025,1681.08,750.621,1621.15,734.528
000000000025,148.959,630.345,145.029,626.277
000000000025,1785.45,786.597,1781.42,782.715
000000000025,0.0,0.0,0.0,0.0
000000000030,910.805,846.997,878.943,854.985
000000000030,1135.67,878.939,1207.91,883.027
000000000030,148.983,646.261,156.908,646.275
000000000030,1681.27,750.635,1641.01,746.597
000000000030,1773.35,786.73,1781.36,790.645
000000000035,907.011,846.987,878.831,854.961
000000000035,1135.63,878.939,1207.89,883.019
000000000035,1681.28,754.755,1637.09,778.619
000000000035,152.961,646.29,152.855,642.349
000000000035,1789.45,794.754,1749.56,782.646
000000000035,818.877,686.526,814.81,686.374
000000000040,168.83,634.261,148.897,626.377
000000000040,1131.65,878.929,1207.84,883.026
000000000040,903.068,847.015,878.773,854.967
000000000040,1681.3,754.659,1641.03,782.631
000000000040,1777.34,778.544,1753.37,762.66
000000000040,814.718,686.282,814.517,682.317
000000000045,168.927,642.25,145.127,634.31
000000000045,1131.56,878.867,1203.93,882.957
000000000045,906.872,846.941,875.003,855.015
000000000045,1685.05,750.716,1629.1,754.68
000000000045,1765.43,782.541,1753.37,778.664
000000000045,814.918,686.493,814.665,686.478
000000000050,172.894,654.389,140.777,662.312
000000000050,907.071,846.803,878.75,855.039
000000000050,1131.57,878.924,1204.01,882.95
000000000050,1685.25,754.475,1621.12,750.694
000000000050,1745.39,778.484,1749.29,774.677
000000000055,168.922,662.332,136.743,658.484
000000000055,910.975,846.643,878.803,854.859
000000000055,1127.66,878.897,1204.01,882.92
000000000055,0.0,0.0,1621.22,762.562
000000000055,1737.28,758.72,1745.27,758.681
000000000055,818.744,682.433,814.869,686.342
000000000055,0.0,0.0,0.0,0.0
000000000060,172.837,658.218,132.883,658.367
000000000060,911.037,846.797,874.934,854.908
000000000060,1131.61,878.946,1207.99,882.938
000000000060,0.0,0.0,1644.99,758.569
000000000060,814.704,674.31,818.922,682.318
000000000060,1713.28,750.719,1737.28,750.604
000000000065,168.986,658.237,140.736,670.405
000000000065,911.085,846.802,874.829,858.836
000000000065,1131.62,878.868,1207.93,882.886
000000000065,0.0,0.0,1637.08,790.661
000000000065,806.709,666.371,814.622,662.425
000000000065,1725.27,770.583,1721.34,762.584
000000000070,156.939,642.26,140.769,658.479
