frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,0.0,0.0,0.0,0.0
000000000000,0.0,0.0,0.0,0.0
000000000000,1448.55,742.6,1428.61,742.586
000000000000,112.687,562.205,112.918,558.143
000000000000,694.374,622.178,690.469,618.178
000000000005,0.0,0.0,0.0,0.0
000000000005,100.714,562.228,92.7511,562.035
000000000005,0.0,0.0,0.0,0.0
000000000005,690.302,618.188,686.585,614.188
000000000005,0.0,0.0,1424.61,730.523
000000000010,0.0,0.0,0.0,0.0
000000000010,0.0,0.0,0.0,0.0
000000000010,88.7724,562.141,92.8142,561.991
000000000010,682.39,622.254,686.288,622.199
000000000010,1456.55,738.543,1432.51,738.55
000000000015,0.0,0.0,0.0,0.0
000000000015,0.0,0.0,0.0,0.0
000000000015,88.7988,574.063,80.8004,562.172
000000000015,682.269,622.167,682.391,622.212
000000000015,1456.54,746.524,1440.54,734.586
000000000020,0.0,0.0,0.0,0.0
000000000020,0.0,0.0,0.0,0.0
000000000020,80.8112,566.092,48.8629,558.179
000000000020,666.313,622.143,658.377,618.168
000000000020,1456.56,750.532,1440.48,750.618
000000000025,0.0,0.0,0.0,0.0
000000000025,0.0,0.0,0.0,0.0
000000000025,654.293,618.293,670.361,622.257
000000000025,76.8049,562.031,72.6155,562.064
000000000025,1456.44,750.558,1444.52,754.531
000000000030,0.0,0.0,0.0,0.0
000000000030,0.0,0.0,0.0,0.0
000000000030,1456.52,754.593,1440.53,754.641
000000000030,654.17,618.253,654.259,622.101
000000000030,52.6181,558.192,48.691,562.08
000000000035,0.0,0.0,0.0,0.0
000000000035,0.0,0.0,0.0,0.0
000000000035,658.443,626.202,642.276,626.079
000000000035,1456.5,750.59,1440.58,750.448
000000000040,658.229,622.217,638.337,622.096
000000000040,0.0,0.0,0.0,0.0
000000000040,0.0,0.0,0.0,0.0
000000000040,0.0,0.0,0.0,0.0
000000000045,654.169,626.233,646.293,626.197
000000000045,0.0,0.0,0.0,0.0
000000000045,0.0,0.0,0.0,0.0
000000000045,0.0,0.0,1733.34,786.695
000000000050,0.0,0.0,0.0,0.0
000000000050,1777.55,790.708,1745.38,782.617
000000000050,646.348,626.143,638.316,622.306
000000000050,0.0,0.0,0.0,0.0
000000000055,0.0,0.0,0.0,0.0
000000000055,650.373,626.108,642.293,626.117
000000000055,0.0,0.0,0.0,0.0
000000000055,1777.57,782.776,1753.29,778.698
000000000055,0.0,0.0,0.0,0.0
000000000060,0.0,0.0,0.0,0.0
000000000060,654.25,622.123,638.336,618.236
000000000060,0.0,0.0,0.0,0.0
000000000060,0.0,0.0,0.0,0.0
000000000060,0.0,0.0,0.0,0.0
000000000065,0.0,0.0,0.0,0.0
000000000065,1456.61,754.64,1428.65,754.773
000000000065,650.238,626.144,634.2,622.346
000000000065,0.0,0.0,0.0,0.0
000000000070,0.0,0.0,0.0,0.0
000000000070,1456.6,742.604,1452.39,746.466
