frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,1584.73,189.023,1584.94,180.969
000000000005,1604.97,144.978,1592.94,221.187
000000000010,1617.0,156.931,1600.95,241.273
000000000010,1364.48,622.156,1380.24,686.419
000000000015,1616.99,181.127,1620.99,152.895
000000000015,0.0,0.0,0.0,0.0
000000000020,1616.85,144.932,1633.08,201.0
000000000020,0.0,0.0,1388.24,686.513
000000000025,1621.06,128.904,1641.08,200.967
000000000025,1384.4,626.313,1364.31,682.341
000000000030,1657.09,88.7006,1632.99,201.062
000000000030,1376.32,594.18,1384.31,622.269
000000000035,1681.11,56.6075,1645.01,201.052
000000000035,1368.4,630.271,1384.26,646.312
000000000040,1685.21,60.7094,1633.1,209.195
000000000040,1376.4,598.205,1388.4,598.157
000000000040,0.0,0.0,0.0,0.0
000000000045,1689.15,56.6278,1648.9,193.04
000000000045,1368.37,590.101,1388.34,590.1
000000000050,1657.15,68.7317,1681.07,56.6982
000000000050,1372.33,610.164,1372.33,618.202
000000000050,1159.78,333.566,1139.65,333.576
000000000055,1520.73,44.6576,1693.21,48.7856
000000000055,1348.18,670.346,1384.37,594.088
000000000060,1685.05,52.6225,1685.29,40.553
000000000060,1360.3,634.259,1380.38,606.179
000000000065,0.0,0.0,0.0,0.0
000000000065,1388.21,614.15,1388.41,610.193
000000000065,0.0,0.0,0.0,0.0
000000000070,1376.39,602.219,1388.3,598.148
000000000070,0.0,0.0,0.0,0.0
000000000070,0.0,0.0,0.0,0.0
000000000075,0.0,0.0,0.0,0.0
000000000075,1167.87,349.502,1139.8,345.462
000000000080,1625.05,156.988,0.0,0.0
000000000080,0.0,0.0,1139.76,337.524
000000000085,1713.25,40.5984,0.0,0.0
000000000085,1167.85,341.47,1151.69,337.567
000000000090,1677.15,100.748,1685.2,92.7017
000000000090,0.0,0.0,1143.63,337.657
000000000090,0.0,0.0,0.0,0.0
000000000095,1685.29,48.7431,1701.2,8.47489
000000000100,1685.1,52.6329,0.0,0.0
000000000100,1392.29,618.231,0.0,0.0
000000000100,1167.85,341.485,1155.79,337.574
000000000105,0.0,0.0,0.0,0.0
000000000105,1308.14,907.014,1288.08,902.997
000000000105,0.0,0.0,1143.72,337.485
000000000110,1544.83,152.941,1552.94,148.906
000000000110,0.0,0.0,1139.82,357.509
000000000110,1380.39,614.241,1384.27,622.242
000000000115,1536.73,149.05,1548.82,152.884
000000000115,1380.38,590.12,1376.37,610.202
000000000115,1167.87,345.44,1147.7,341.559
000000000120,1689.22,104.827,1641.02,88.7597
000000000120,1388.34,594.09,1388.35,646.263
000000000120,1167.85,349.551,1147.76,345.426
000000000125,1685.16,96.7672,0.0,0.0
000000000125,1167.78,337.625,1139.85,341.445
000000000130,1681.11,104.667,0.0,0.0
000000000130,1388.25,606.172,1376.36,650.272
000000000135,0.0,0.0,0.0,0.0
000000000135,1677.2,108.868,1685.15,12.5359
000000000140,1384.37,618.137,0.0,0.0
000000000145,0.0,0.0,1139.78,461.789
000000000150,1139.63,469.753,0.0,0.0
000000000155,0.0,0.0,0.0,0.0
000000000160,1685.26,48.7211,0.0,0.0
000000000160,0.0,0.0,1693.21,100.699
000000000165,0.0,0.0,0.0,0.0
000000000165,1685.27,92.7196,1689.29,100.68
000000000170,1685.14,96.6874,1693.18,104.66
000000000180,1372.31,622.234,0.0,0.0
000000000185,1388.27,606.144,0.0,0.0
000000000190,0.0,0.0,0.0,0.0
000000000195,1384.32,602.206,0.0,0.0
000000000220,0.0,0.0,0.0,0.0
000000000225,0.0,0.0,0.0,0.0
000000000230,0.0,0.0,0.0,0.0
000000000235,1384.34,614.186,0.0,0.0
000000000245,0.0,0.0,0.0,0.0
000000000250,0.0,0.0,0.0,0.0
000000000255,0.0,0.0,0.0,0.0
000000000260,0.0,0.0,0.0,0.0
000000000300,0.0,0.0,0.0,0.0
000000000300,0.0,0.0,0.0,0.0
000000000305,1913.95,233.108,0.0,0.0
000000000305,1376.36,622.186,0.0,0.0
000000000310,1913.99,257.221,1913.98,245.259
000000000315,1913.89,269.189,0.0,0.0
000000000320,1913.83,489.926,1913.94,277.348
000000000325,1849.68,586.011,0.0,0.0
000000000330,1873.79,562.169,1869.71,357.418
000000000335,1881.81,554.005,1877.68,558.036
000000000340,0.0,0.0,1873.53,501.999
000000000345,1801.48,626.368,1845.66,582.059
000000000350,1781.49,706.427,1721.43,630.312
000000000355,1697.23,846.962,1797.46,602.143
000000000360,1741.24,842.785,1777.49,614.201
000000000365,1741.4,834.864,1721.29,738.575
000000000370,1733.35,846.781,1717.34,798.779
000000000375,1725.28,846.84,1717.17,806.719
000000000380,1685.18,854.881,1685.25,834.766
000000000385,1649.11,818.791,1681.22,750.727
000000000390,1637.05,906.933,1677.21,758.574
000000000395,1641.13,894.993,1673.21,754.61
000000000400,1621.16,903.052,1648.99,766.599
000000000405,1613.05,879.02,1644.99,814.724
000000000410,1612.82,862.85,1620.93,830.799
000000000410,1665.19,140.831,0.0,0.0
000000000415,1677.23,120.847,1681.17,36.5316
000000000415,0.0,0.0,1609.01,862.896
