frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,521.797,754.482,489.847,750.744
000000000000,851.029,842.735,854.991,842.755
000000000000,0.0,0.0,0.0,0.0
000000000005,798.717,822.873,870.86,834.812
000000000005,525.744,754.624,481.902,750.641
000000000010,790.664,814.883,878.784,834.878
000000000010,525.889,754.582,485.817,750.624
000000000015,525.788,754.429,465.959,750.43
000000000015,782.51,818.865,854.883,826.852
000000000020,778.571,822.767,846.728,818.893
000000000020,521.947,750.65,461.799,750.587
000000000020,882.85,714.509,858.95,702.481
000000000025,878.972,718.481,814.625,814.663
000000000025,521.992,750.553,461.718,750.677
000000000025,782.461,822.767,0.0,0.0
000000000030,874.998,718.552,846.899,706.482
000000000030,501.868,754.482,461.716,754.494
000000000030,782.463,822.835,802.705,814.722
000000000035,875.005,718.335,850.999,702.442
000000000035,778.55,822.885,786.819,818.705
000000000035,453.684,754.589,441.778,750.657
000000000040,875.016,718.46,862.858,710.492
000000000040,397.622,754.456,449.753,754.635
000000000040,762.559,822.879,758.66,822.785
000000000045,878.734,718.61,858.865,714.443
000000000045,417.672,754.518,397.706,754.648
000000000045,786.601,814.709,770.646,810.81
000000000050,874.859,722.618,854.873,718.465
000000000050,822.771,798.689,782.694,814.626
000000000050,381.591,762.618,373.574,754.513
000000000055,0.0,0.0,858.87,714.52
000000000055,846.962,778.541,774.598,814.644
000000000055,301.464,754.703,373.566,770.552
000000000060,369.593,766.606,293.308,774.693
000000000060,866.885,754.679,862.846,718.63
000000000060,0.0,0.0,778.741,814.667
000000000065,305.282,762.708,305.297,758.568
000000000065,858.95,762.632,854.922,730.622
000000000065,0.0,0.0,0.0,0.0
000000000070,269.083,774.615,305.236,774.6
000000000070,850.75,778.614,778.56,810.818
000000000070,0.0,0.0,0.0,0.0
000000000075,245.247,782.584,245.12,774.715
000000000075,794.678,810.613,842.871,782.755
000000000075,0.0,0.0,0.0,0.0
000000000080,241.016,786.544,213.193,782.685
000000000080,846.861,790.838,762.679,810.653
000000000080,0.0,0.0,0.0,0.0
000000000085,253.13,782.807,168.842,790.759
000000000085,810.815,810.718,770.656,810.656
000000000085,0.0,0.0,0.0,0.0
000000000090,245.266,778.653,156.926,786.71
000000000090,762.696,814.618,754.801,806.705
000000000090,0.0,0.0,0.0,0.0
000000000095,213.195,782.55,148.851,786.718
000000000095,754.532,814.812,762.714,810.62
000000000100,177.114,762.628,145.03,786.586
000000000100,754.555,814.659,774.642,810.629
000000000105,770.631,810.718,806.732,790.849
000000000105,0.0,0.0,0.0,0.0
000000000110,770.626,810.646,846.758,810.684
000000000110,0.0,0.0,0.0,0.0
000000000115,778.54,810.628,846.792,810.667
000000000115,0.0,0.0,0.0,0.0
000000000120,774.574,802.787,846.877,806.722
000000000120,0.0,0.0,0.0,0.0
000000000125,814.678,810.8,854.88,806.711
000000000125,0.0,0.0,0.0,0.0
000000000130,846.818,814.574,850.896,806.758
000000000130,0.0,0.0,0.0,0.0
000000000135,846.895,814.564,854.842,802.677
000000000135,0.0,0.0,0.0,0.0
000000000140,846.788,814.67,846.787,802.797
000000000140,0.0,0.0,0.0,0.0
000000000145,842.721,814.594,838.838,802.784
000000000145,0.0,0.0,0.0,0.0
000000000150,838.883,814.666,842.824,802.791
000000000150,0.0,0.0,0.0,0.0
000000000150,144.943,762.678,164.974,766.638
000000000155,838.879,814.631,838.871,806.657
000000000155,0.0,0.0,0.0,0.0
000000000155,148.945,778.6,229.201,758.607
000000000160,842.789,810.823,838.805,806.675
000000000160,153.017,774.558,153.0,774.705
000000000160,0.0,0.0,0.0,0.0
000000000165,0.0,0.0,0.0,0.0
000000000165,842.818,814.558,838.865,802.761
000000000165,213.212,750.478,221.134,754.71
000000000170,0.0,0.0,0.0,0.0
000000000170,842.767,810.83,838.781,802.741
000000000170,261.276,746.63,249.222,750.763
000000000175,0.0,0.0,0.0,0.0
000000000175,842.794,810.79,834.808,802.801
000000000175,253.262,750.593,253.255,754.575
000000000180,0.0,0.0,686.437,1075.47
000000000180,838.89,810.819,830.813,806.706
000000000180,273.241,750.518,273.353,750.51
000000000185,838.869,810.76,834.772,802.705
000000000185,622.106,1067.44,0.0,0.0
000000000185,277.349,742.6,333.469,730.518
000000000190,838.888,810.813,838.86,806.676
000000000190,297.328,726.658,337.59,738.559
000000000190,622.328,1079.47,658.401,1071.35
000000000195,838.793,810.767,822.894,810.608
000000000195,317.365,726.549,337.621,746.412
000000000195,630.225,1031.33,0.0,0.0
000000000200,838.887,810.748,830.828,806.714
000000000200,634.208,1019.4,694.408,1075.48
000000000200,333.591,726.461,341.373,730.545
000000000205,646.269,1035.25,670.4,1031.38
000000000205,842.748,814.58,838.841,802.773
