frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,1648.95,782.669,1597.0,782.664
000000000000,1015.43,959.192,1103.39,955.212
000000000000,0.0,0.0,0.0,0.0
000000000000,911.126,758.537,907.081,770.676
000000000005,1035.26,967.209,1103.46,955.22
000000000005,0.0,0.0,0.0,0.0
000000000005,943.056,754.671,915.091,758.733
000000000005,1620.94,758.753,1645.14,782.493
000000000010,1649.09,778.527,1649.22,782.641
000000000010,0.0,0.0,0.0,0.0
000000000010,0.0,0.0,1107.49,967.206
000000000010,618.163,730.585,638.3,726.564
000000000010,939.062,758.718,947.193,754.466
000000000015,0.0,0.0,1107.84,971.076
000000000015,0.0,0.0,0.0,0.0
000000000015,622.358,726.458,646.254,722.617
000000000020,1661.17,782.563,1673.18,782.747
000000000020,0.0,0.0,0.0,0.0
000000000020,626.318,730.555,654.231,738.589
000000000020,0.0,0.0,0.0,0.0
000000000025,0.0,0.0,0.0,0.0
000000000025,1685.24,786.565,1685.04,790.63
000000000025,0.0,0.0,0.0,0.0
000000000025,622.358,726.667,654.388,734.549
000000000030,1713.35,790.745,1681.28,790.665
000000000030,0.0,0.0,0.0,0.0
000000000030,0.0,0.0,0.0,0.0
000000000030,622.335,726.532,654.374,734.496
000000000030,1913.86,883.056,1885.82,883.052
000000000035,1725.37,798.74,1689.13,790.838
000000000035,1107.37,878.828,1139.72,931.05
000000000035,626.083,726.472,658.246,734.498
000000000035,0.0,0.0,0.0,0.0
000000000035,1845.77,878.91,1913.84,878.734
000000000035,0.0,0.0,0.0,0.0
000000000040,1721.26,786.752,1737.39,794.724
000000000040,0.0,0.0,0.0,0.0
000000000040,622.401,726.523,658.207,738.586
000000000040,1849.68,882.848,0.0,0.0
000000000040,1103.76,878.849,1135.55,918.99
000000000040,0.0,0.0,0.0,0.0
000000000045,1741.37,786.661,1745.28,794.804
000000000045,1861.63,882.78,1913.87,874.971
000000000045,0.0,0.0,0.0,0.0
000000000045,630.36,722.617,658.235,730.593
000000000045,0.0,0.0,1115.63,911.161
000000000050,1749.48,802.728,1753.4,802.727
000000000050,0.0,0.0,0.0,0.0
000000000050,1873.6,882.986,1869.62,886.978
000000000050,642.336,722.681,662.413,734.527
000000000050,0.0,0.0,1103.52,906.937
000000000050,0.0,0.0,0.0,0.0
000000000055,1773.45,794.75,1773.32,794.727
000000000055,975.162,706.504,979.382,718.415
000000000055,1079.58,915.173,1075.63,911.023
000000000055,0.0,0.0,0.0,0.0
000000000055,1873.53,882.911,1873.79,883.087
000000000055,650.351,722.708,666.412,730.572
000000000060,1809.53,810.747,1785.57,814.881
000000000060,1107.56,942.952,1075.69,923.149
000000000060,0.0,0.0,0.0,0.0
000000000060,1877.79,879.03,1877.61,886.961
000000000060,967.113,738.607,1007.47,754.597
000000000060,0.0,0.0,0.0,0.0
000000000065,1821.64,814.806,1789.59,814.682
000000000065,1059.47,935.119,1099.6,923.037
000000000065,0.0,0.0,0.0,0.0
000000000065,967.151,738.551,1011.23,754.484
000000000065,1877.6,878.954,1873.75,883.07
000000000065,0.0,0.0,0.0,0.0
000000000070,1043.46,939.019,1107.43,915.088
000000000070,1877.55,854.884,1809.64,814.805
000000000070,0.0,0.0,1881.78,870.845
000000000070,0.0,0.0,0.0,0.0
000000000070,0.0,0.0,0.0,0.0
000000000070,979.115,726.542,991.304,730.473
000000000075,1047.45,942.924,1107.78,919.083
000000000075,0.0,0.0,0.0,0.0
000000000075,979.267,722.401,1003.13,722.532
000000000075,686.478,686.506,690.343,686.526
000000000080,1063.41,919.016,1135.76,942.982
000000000080,0.0,0.0,0.0,0.0
000000000080,690.535,722.497,694.456,718.502
000000000080,991.314,710.442,1007.44,710.402
000000000085,0.0,0.0,0.0,0.0
000000000085,1071.46,914.987,1143.74,935.071
000000000085,698.384,706.51,710.456,714.477
000000000085,0.0,0.0,1007.42,666.35
000000000090,1075.44,911.139,1143.8,919.175
000000000090,0.0,0.0,0.0,0.0
000000000090,694.546,690.495,718.439,694.438
000000000090,1015.37,702.403,1015.29,698.495
000000000095,0.0,0.0,0.0,0.0
000000000095,702.439,686.463,722.579,690.317
000000000095,1071.5,919.13,1139.77,911.129
000000000095,1011.24,694.379,1027.37,702.43
000000000100,0.0,0.0,0.0,0.0
000000000100,1071.38,915.071,1075.4,919.108
000000000105,0.0,0.0,0.0,0.0
000000000110,0.0,0.0,0.0,0.0
000000000115,0.0,0.0,0.0,0.0
000000000120,0.0,0.0,0.0,0.0
000000000125,0.0,0.0,0.0,0.0
000000000130,0.0,0.0,0.0,0.0
000000000135,0.0,0.0,0.0,0.0
000000000135,1167.82,911.009,1240.02,879.002
000000000135,1007.37,658.349,1019.27,658.243
000000000135,0.0,0.0,0.0,0.0
000000000140,0.0,0.0,0.0,0.0
000000000140,1171.61,915.008,1203.95,891.033
000000000140,1035.4,666.45,1003.25,678.432
000000000140,726.459,622.218,0.0,0.0
000000000145,1171.73,915.262,1199.77,906.947
000000000145,0.0,0.0,0.0,0.0
000000000145,1039.23,682.42,999.33,686.473
000000000145,0.0,0.0,0.0,0.0
000000000150,1171.75,915.278,1191.82,910.94
000000000150,0.0,0.0,0.0,0.0
000000000150,1043.25,690.27,1003.24,690.332
000000000150,0.0,0.0,0.0,0.0
000000000150,1913.92,778.601,1913.9,782.721
000000000155,0.0,0.0,0.0,0.0
000000000155,1167.88,923.097,1183.82,906.931
000000000155,1043.3,694.438,999.321,694.412
000000000155,1913.89,786.67,1913.86,790.699
000000000155,0.0,0.0,0.0,0.0
000000000155,0.0,0.0,0.0,0.0
000000000160,1171.73,931.04,1139.7,879.096
000000000160,1011.23,686.524,1039.39,690.57
000000000160,1913.94,782.559,1913.87,794.775
000000000160,0.0,0.0,0.0,0.0
000000000165,1171.73,923.137,1111.64,878.801
000000000165,1913.88,786.619,1913.86,794.664
000000000165,0.0,0.0,0.0,0.0
000000000165,1039.43,698.407,1003.3,694.411
000000000170,1171.64,931.05,1107.63,882.985
000000000170,1913.89,786.729,0.0,0.0
000000000170,0.0,0.0,0.0,0.0
000000000170,991.29,698.484,1035.37,698.472
000000000175,1167.79,923.002,1107.44,882.998
000000000175,0.0,0.0,0.0,0.0
000000000175,1881.67,794.682,0.0,0.0
000000000175,1007.3,690.551,1039.51,702.443
