frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,132.882,854.966,104.678,846.891
000000000000,1151.77,1039.24,1107.67,1039.42
000000000000,1913.9,883.113,1913.9,891.054
000000000000,1460.64,866.875,1460.65,854.941
000000000005,132.86,854.826,100.8,846.757
000000000005,1155.65,1039.27,1107.6,1039.48
000000000005,1913.91,887.012,1913.9,895.005
000000000005,1468.61,850.915,1464.56,850.895
000000000010,1151.77,1039.29,1107.58,1039.49
000000000010,136.727,851.004,100.789,846.759
000000000010,1913.92,899.049,1913.91,910.913
000000000015,164.872,834.833,96.8229,842.904
000000000015,1151.76,1039.28,1107.55,1039.49
000000000015,1913.93,902.969,1913.92,910.957
000000000015,1452.52,886.903,1460.43,878.904
000000000020,1155.64,1039.33,1107.58,1039.53
000000000020,1913.91,891.039,1913.88,894.967
000000000020,104.846,830.769,0.0,0.0
000000000020,1468.54,878.839,1464.58,866.863
000000000025,1151.72,1039.3,1107.61,1039.56
000000000025,1484.63,875.008,1480.65,874.909
000000000025,116.863,830.824,148.927,842.772
000000000025,1913.93,895.016,1913.91,891.037
000000000030,1151.72,1039.32,1107.61,1039.54
000000000030,0.0,0.0,1516.69,882.813
000000000030,136.929,818.94,132.895,818.974
000000000035,1151.73,1039.33,1107.61,1039.57
000000000035,1524.8,887.082,1456.57,911.015
000000000035,132.876,826.777,176.967,842.777
000000000040,1151.67,1039.31,1107.61,1039.55
000000000040,140.775,822.77,116.83,818.817
000000000040,1524.61,882.863,1528.78,883.091
000000000045,1151.7,1039.34,1107.59,1043.27
000000000045,1524.66,878.822,1528.73,879.053
000000000045,124.896,818.886,112.81,818.72
000000000050,1151.67,1039.36,1107.54,1043.32
000000000050,140.757,826.835,112.921,822.736
000000000050,1548.78,882.798,1552.62,883.02
000000000050,1913.94,894.929,1913.93,891.0
000000000055,1151.72,1039.35,1107.61,1043.27
000000000055,1913.94,910.978,1913.92,910.944
000000000055,120.852,818.797,132.83,818.922
000000000055,1556.74,882.793,1556.79,882.976
000000000060,1155.63,1039.37,1107.58,1043.28
000000000060,144.902,846.922,132.837,846.814
000000000060,1568.93,882.893,1564.83,883.048
000000000060,1913.92,899.059,1913.92,899.005
000000000065,1151.75,1039.34,1107.6,1043.27
000000000065,1576.84,878.872,1576.92,883.16
000000000065,1913.9,887.068,1913.91,882.945
000000000070,1155.64,1039.34,1107.67,1043.22
000000000070,136.783,854.943,108.742,846.682
000000000070,1584.96,874.807,1584.9,878.809
000000000075,1151.71,1039.4,1107.49,1043.35
000000000075,136.849,846.822,108.732,842.809
000000000075,1604.98,878.954,1585.01,883.049
000000000075,1881.78,882.835,1913.87,874.973
000000000080,1151.71,1039.32,1107.53,1043.3
000000000080,136.78,850.814,104.707,846.675
000000000080,1877.6,878.957,1885.75,878.816
000000000080,1597.03,878.775,1593.04,882.798
000000000080,0.0,0.0,0.0,0.0
000000000085,1143.81,1035.47,1107.7,1043.27
000000000085,1608.93,878.987,1625.08,882.963
000000000085,1865.6,878.938,1845.48,874.847
000000000085,116.813,842.869,116.87,846.726
000000000090,1139.69,1039.28,1107.75,1043.37
000000000090,1845.58,878.968,1837.62,874.95
000000000090,1604.96,882.892,1637.04,879.034
000000000090,132.851,846.927,112.811,846.824
000000000095,1139.67,1039.36,1107.7,1043.38
000000000095,1825.61,878.92,1817.63,874.883
000000000095,148.866,850.835,112.736,846.872
000000000095,1617.05,879.024,1641.02,882.939
000000000100,1139.78,1039.33,1107.79,1043.37
000000000100,1813.54,878.796,1805.56,874.969
000000000100,1620.98,858.898,1621.01,870.84
000000000105,1139.81,1039.31,1111.69,1043.36
000000000105,160.943,870.889,140.74,858.948
000000000105,1801.53,878.723,1793.5,874.9
000000000105,1645.07,911.071,1648.92,915.171
000000000110,1139.77,1035.43,1131.65,1043.38
000000000110,1801.57,878.842,1793.54,870.96
000000000110,172.913,846.957,144.834,850.797
000000000110,1653.08,886.939,1653.01,887.013
000000000115,1143.63,1035.39,1131.52,1043.25
000000000115,1781.33,870.979,1793.48,878.755
000000000115,1653.01,878.841,1652.97,882.806
000000000115,209.051,846.89,185.033,846.893
000000000120,1143.66,1035.44,1135.78,1043.38
000000000120,1785.43,878.839,1773.45,875.009
000000000120,1625.11,882.986,1632.99,882.846
000000000125,1781.55,878.966,1773.49,878.971
000000000125,1143.75,1031.39,1135.5,1043.45
000000000125,1608.95,874.875,1589.07,878.813
000000000130,1789.53,886.897,1777.34,882.905
000000000130,1139.79,1031.42,1127.61,1043.37
000000000130,1621.03,887.071,1640.99,907.004
000000000135,1139.63,1031.29,1127.69,1043.24
000000000135,1805.48,882.902,1777.26,883.126
000000000135,1560.89,879.01,1641.01,907.033
000000000140,1139.75,1035.34,1119.66,1043.42
000000000140,1813.58,886.961,1777.4,882.866
000000000140,213.185,842.893,200.982,846.748
000000000140,1560.92,879.051,1556.93,882.82
000000000145,1813.51,887.104,1777.48,883.009
000000000145,1560.92,878.891,1588.96,874.941
000000000145,1131.6,1043.31,1131.56,1039.54
000000000145,205.051,846.703,173.054,842.738
000000000150,1135.5,1039.27,1155.73,1039.29
000000000150,1580.74,878.987,1588.86,882.808
000000000150,1777.57,879.059,1809.62,882.99
000000000150,201.061,846.833,160.941,846.982
000000000155,1576.86,878.875,1584.97,879.059
000000000155,1131.56,1031.41,1215.88,1011.4
000000000155,1809.54,891.049,1785.59,887.009
000000000160,1119.6,1031.41,1215.94,1011.31
000000000160,1813.65,886.889,1809.63,886.921
000000000160,1560.94,874.949,1584.81,882.888
000000000160,180.962,838.786,140.942,846.832
000000000165,1167.54,1007.16,1227.92,1011.15
000000000165,1817.56,886.934,1813.49,883.118
000000000165,1556.86,875.003,1576.83,878.968
000000000165,168.978,846.812,145.018,850.923
000000000170,1556.95,878.967,1584.94,882.955
000000000170,1227.73,1007.26,1231.99,1011.34
000000000170,1813.72,882.961,1817.65,883.166
000000000170,176.959,842.818,144.886,850.82
000000000175,1259.99,995.261,1231.87,1007.41
000000000175,1584.88,879.025,1576.82,883.058
000000000175,1813.52,882.859,1817.62,883.07
000000000175,184.982,842.758,144.802,850.756
000000000180,1239.9,1011.31,1239.88,1007.34
000000000180,1809.66,878.938,1813.67,883.08
000000000180,1576.85,882.842,1576.89,882.972
000000000185,1251.88,1003.3,1283.99,991.282
000000000185,1829.55,891.005,1809.68,887.069
000000000185,1580.81,879.057,1580.86,882.837
000000000190,1247.99,983.286,1300.22,975.27
000000000190,1837.52,895.024,1809.47,887.048
000000000190,1584.84,879.084,1576.79,883.122
000000000195,1252.04,983.24,1300.25,975.395
000000000195,1809.62,890.935,1809.38,882.826
000000000195,0.0,0.0,0.0,0.0
000000000195,116.852,830.784,120.94,826.793
000000000195,1560.81,878.936,1556.96,874.973
000000000200,0.0,0.0,0.0,0.0
000000000200,1272.06,963.192,1304.24,979.165
000000000200,169.027,842.751,136.75,842.897
000000000200,1580.95,882.893,1572.91,882.951
000000000205,1300.13,979.229,1308.16,979.361
000000000205,0.0,0.0,0.0,0.0
000000000205,177.009,851.043,144.966,858.877
000000000205,1564.82,874.925,1560.87,874.987
000000000210,1837.53,886.931,1817.53,882.899
000000000210,1300.34,959.166,1324.08,955.102
000000000210,0.0,0.0,0.0,0.0
000000000210,156.92,850.98,136.931,850.736
000000000210,1576.92,882.803,1580.85,882.916
000000000215,1320.21,967.128,1332.34,955.126
000000000215,1837.49,882.928,1821.58,882.886
000000000215,0.0,0.0,0.0,0.0
000000000215,160.907,858.907,144.775,858.859
000000000220,1300.28,947.272,1356.25,947.208
000000000220,0.0,0.0,0.0,0.0
000000000220,1837.55,882.846,1825.5,882.849
000000000220,152.99,858.873,140.753,850.964
000000000225,0.0,0.0,0.0,0.0
000000000225,1841.73,882.988,1833.63,882.909
000000000225,1304.08,943.258,1356.17,943.199
000000000225,164.91,870.904,144.854,874.844
000000000230,0.0,0.0,0.0,0.0
000000000230,1845.75,883.126,1821.64,883.011
000000000230,1576.81,878.891,1580.81,882.943
000000000230,172.876,850.854,144.811,846.793
000000000230,1352.22,939.076,1328.14,923.081
000000000235,0.0,0.0,0.0,0.0
000000000235,1845.71,886.898,1825.58,883.044
000000000235,176.967,858.91,145.003,862.944
000000000235,1572.84,878.85,1584.75,882.962
000000000240,149.072,846.685,136.756,830.846
000000000240,0.0,0.0,0.0,0.0
000000000240,1845.76,886.921,1825.65,883.049
000000000240,1564.82,882.85,1584.92,883.117
000000000245,0.0,0.0,0.0,0.0
000000000245,1841.71,890.975,1817.58,886.894
000000000245,1557.01,822.795,1557.01,826.835
000000000245,149.062,818.866,145.117,814.881
000000000245,1364.21,939.121,1368.32,938.981
000000000250,1845.6,886.939,1817.53,882.875
000000000250,0.0,0.0,0.0,0.0
000000000250,1352.26,939.025,1388.3,919.171
000000000250,160.967,814.785,156.915,814.671
000000000250,1560.89,878.852,1552.77,870.969
000000000255,0.0,0.0,0.0,0.0
000000000255,1841.7,887.063,1813.76,882.948
000000000255,1336.32,935.02,1388.21,919.163
000000000255,1568.89,874.968,1560.97,878.842
000000000255,173.074,838.872,152.987,846.861
000000000260,0.0,0.0,0.0,0.0
000000000260,1356.25,931.156,1384.4,931.052
000000000260,1817.57,882.992,1825.55,882.966
000000000260,1556.73,878.86,1557.0,878.973
000000000265,0.0,0.0,0.0,0.0
000000000265,164.895,802.697,128.81,786.707
000000000265,1849.61,883.103,1813.75,883.14
000000000265,1360.42,915.203,1384.38,931.064
000000000265,1556.98,882.859,1556.84,882.971
000000000270,0.0,0.0,0.0,0.0
000000000270,1861.66,887.06,1813.62,883.181
000000000270,176.863,786.52,164.893,782.814
000000000270,1336.3,910.998,1388.24,919.005
000000000270,1556.9,882.896,1556.92,883.044
000000000275,0.0,0.0,1075.45,1075.59
000000000275,1324.19,910.997,1372.32,915.025
000000000275,1857.66,890.928,1813.64,883.092
000000000275,1556.96,882.88,1557.02,883.048
000000000275,176.899,830.838,168.964,822.863
000000000280,0.0,0.0,971.183,1075.45
000000000280,1865.72,891.032,1813.75,886.883
000000000280,209.07,834.837,180.985,830.775
000000000280,1316.18,910.815,1332.14,903.057
000000000280,1556.96,882.838,1556.88,882.925
000000000285,1865.7,891.05,1817.61,883.15
