frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,108.637,778.604,116.797,778.581
000000000000,1043.32,882.893,1011.41,858.909
000000000000,562.24,979.23,658.54,999.29
000000000000,1677.22,782.718,1633.11,782.687
000000000000,0.0,0.0,0.0,0.0
000000000000,874.797,726.628,879.022,722.542
000000000005,1039.52,878.96,991.251,818.875
000000000005,854.931,742.614,882.863,734.552
000000000005,566.089,979.342,658.49,999.255
000000000005,112.947,786.53,48.6384,778.51
000000000005,0.0,0.0,0.0,0.0
000000000010,1039.52,882.906,1107.51,883.033
000000000010,570.057,979.337,658.478,999.344
000000000010,850.951,738.567,854.843,730.515
000000000010,112.823,786.791,48.6257,782.674
000000000010,1677.15,778.718,1633.09,790.619
000000000015,1043.35,879.049,1107.72,883.002
000000000015,562.175,979.158,658.38,999.315
000000000015,854.817,726.685,851.03,722.543
000000000015,0.0,0.0,1637.11,786.677
000000000015,108.756,786.621,44.8066,782.759
000000000015,1665.09,782.554,1709.25,790.725
000000000015,0.0,0.0,0.0,0.0
000000000020,566.032,979.088,658.447,1003.16
000000000020,1043.33,879.008,1111.56,882.949
000000000020,830.808,730.624,822.777,726.582
000000000020,0.0,0.0,1749.28,754.738
000000000020,1657.08,778.593,1641.01,786.516
000000000020,72.6889,778.616,104.685,782.539
000000000025,1043.58,879.046,1107.73,882.995
000000000025,566.09,971.239,658.273,1003.15
000000000025,842.771,738.503,822.915,730.487
000000000025,1661.12,778.545,1640.99,786.848
000000000025,0.0,0.0,1745.23,770.687
000000000030,1745.44,778.517,1717.28,774.582
000000000030,1633.0,786.619,1625.19,790.66
000000000030,1043.48,878.784,1107.54,883.056
000000000030,590.128,975.034,658.196,1003.18
000000000030,834.786,738.487,818.712,730.558
000000000030,0.0,0.0,52.7486,778.706
000000000035,1640.96,786.752,1616.96,786.893
000000000035,1039.31,882.875,1099.46,886.924
000000000035,1761.39,754.782,1757.47,758.685
000000000035,0.0,0.0,654.437,1003.17
000000000035,100.76,782.744,48.8286,782.794
000000000035,814.818,734.532,814.911,722.672
000000000040,1035.33,883.147,1095.52,886.896
000000000040,1629.09,782.668,1588.8,758.641
000000000040,1809.44,770.69,1777.33,778.616
000000000040,594.134,967.12,654.437,983.169
000000000040,108.682,782.684,48.7345,782.768
000000000040,810.608,730.518,810.66,722.564
000000000045,100.727,782.456,52.6374,774.675
000000000045,1035.29,887.021,1083.53,887.042
000000000045,562.134,967.185,654.309,971.066
000000000045,1620.95,782.52,1588.81,782.545
000000000045,806.69,730.489,810.633,722.667
000000000045,1777.52,754.822,1821.55,774.653
000000000050,104.864,782.54,88.6734,774.721
000000000050,1592.92,778.522,1580.88,778.548
000000000050,562.09,967.096,666.418,943.041
000000000050,1031.31,887.022,1059.5,879.068
000000000050,1837.68,774.561,1813.42,782.639
000000000050,810.61,730.572,810.741,726.547
000000000055,1576.94,766.684,1560.88,774.611
000000000055,104.847,774.683,88.6983,770.587
000000000055,1027.38,887.097,1043.41,882.824
000000000055,1845.55,778.548,1845.58,778.697
000000000055,574.078,955.124,662.412,943.158
000000000055,802.78,734.573,798.729,730.519
000000000060,1023.35,890.916,1039.37,886.989
000000000060,586.075,939.077,666.289,943.054
000000000060,132.854,762.57,96.7931,770.663
000000000060,794.694,742.463,786.824,734.521
000000000060,1576.94,774.564,1556.91,782.55
000000000060,1833.65,778.64,1873.66,786.76
000000000065,156.944,766.583,88.8472,778.504
000000000065,1023.31,891.006,1027.42,890.936
000000000065,586.015,927.115,662.34,943.059
000000000065,790.697,734.621,782.829,734.49
000000000065,1576.87,766.662,1556.97,766.664
000000000070,149.047,762.586,104.68,762.709
000000000070,1019.42,891.016,1023.37,887.041
000000000070,594.298,911.161,658.413,943.002
000000000070,1913.84,782.667,1877.75,786.722
000000000070,1584.92,774.63,1588.94,782.488
000000000070,786.77,738.581,794.665,734.575
000000000070,0.0,0.0,0.0,0.0
000000000075,145.063,762.587,116.873,758.595
000000000075,606.175,918.998,658.236,939.152
000000000075,1023.29,890.964,1019.41,883.004
000000000075,1588.86,774.649,1584.99,774.721
000000000075,782.526,734.575,794.704,734.478
000000000080,148.947,766.568,116.97,758.618
000000000080,0.0,0.0,658.465,915.107
000000000080,1019.43,894.98,1015.33,883.06
000000000080,774.569,738.61,790.741,734.581
000000000080,1585.01,778.548,1580.95,774.58
000000000085,156.972,754.53,120.902,754.715
000000000085,1015.48,887.078,1023.34,879.008
000000000085,610.225,911.194,666.421,910.863
000000000085,766.694,742.466,790.635,730.541
000000000090,164.905,754.572,128.86,754.739
000000000090,598.258,911.053,662.386,882.918
000000000090,778.729,738.487,786.57,734.535
000000000095,168.809,758.657,120.892,758.544
000000000095,598.156,911.075,662.421,883.124
000000000095,774.641,738.512,786.639,734.541
000000000095,0.0,0.0,0.0,0.0
000000000095,0.0,0.0,1885.76,794.744
000000000100,168.838,758.732,136.741,754.698
000000000100,1873.7,786.793,1873.58,786.714
000000000100,598.196,910.865,670.322,887.062
000000000100,774.64,746.434,782.713,738.526
000000000100,0.0,0.0,0.0,0.0
000000000105,1873.81,802.69,1841.66,798.718
000000000105,164.963,754.456,140.752,750.475
000000000105,622.198,882.916,682.268,887.102
000000000105,1592.94,774.699,1584.94,778.595
000000000105,0.0,0.0,0.0,0.0
000000000105,1071.42,874.918,0.0,0.0
000000000105,786.664,730.518,786.616,730.559
000000000110,1588.98,778.688,1564.81,782.496
000000000110,1873.71,794.749,1809.68,790.832
000000000110,666.309,883.14,686.277,890.95
000000000110,168.899,754.801,140.694,750.711
000000000110,0.0,0.0,0.0,0.0
000000000110,782.722,742.572,786.695,742.569
000000000115,164.982,754.464,140.702,750.634
000000000115,1873.51,786.702,1813.44,790.795
000000000115,690.595,882.912,682.343,890.932
000000000115,1588.8,770.651,1580.84,774.675
000000000115,0.0,0.0,0.0,0.0
000000000115,782.49,746.41,786.664,742.578
000000000120,164.887,754.654,136.908,754.445
000000000120,1849.71,782.834,1813.66,790.656
000000000120,686.323,883.023,682.413,883.02
000000000120,0.0,0.0,0.0,0.0
000000000120,778.634,738.577,790.659,738.538
000000000120,1585.05,774.703,1584.73,782.461
000000000125,1833.57,782.718,1813.64,786.555
000000000125,690.587,878.783,698.465,874.789
000000000125,176.945,754.679,136.845,754.432
000000000125,0.0,0.0,0.0,0.0
000000000125,1584.94,770.581,1576.78,778.663
000000000125,778.622,746.445,786.76,742.533
000000000130,177.154,754.511,140.737,750.609
000000000130,678.377,870.95,734.525,870.894
000000000130,1825.56,782.63,1817.63,786.702
000000000130,1095.6,882.884,1103.48,882.947
000000000130,1584.76,774.634,1568.87,782.568
000000000130,0.0,0.0,0.0,0.0
000000000130,782.574,746.447,782.762,738.475
000000000135,1821.62,782.71,1813.52,786.606
000000000135,670.302,862.838,726.445,874.93
