frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,1304.14,882.954,1372.28,914.914
000000000000,1717.3,666.377,1757.38,670.385
000000000000,1115.57,678.403,1155.72,682.381
000000000005,1388.25,906.974,1368.42,914.892
000000000005,1123.67,670.433,1167.59,674.35
000000000005,1745.33,670.366,1717.28,670.383
000000000010,1484.7,907.015,1372.33,914.972
000000000010,1135.58,678.339,1151.68,682.371
000000000010,1717.18,670.306,1757.35,670.385
000000000015,1492.61,931.144,1384.34,915.079
000000000015,1753.34,678.317,1713.17,678.403
000000000015,1131.57,670.327,1159.7,682.251
000000000020,1488.79,939.151,1428.5,931.071
000000000020,1773.32,674.319,1717.41,682.282
000000000020,1139.66,670.41,1167.6,678.294
000000000025,1480.6,927.011,1556.74,939.026
000000000025,1777.52,678.44,1717.15,682.292
000000000025,1143.65,670.429,1159.71,682.238
000000000030,1492.5,935.124,1593.06,971.186
000000000030,1777.57,674.347,1713.1,682.436
000000000030,1143.61,666.377,1167.75,678.326
000000000035,1576.81,898.969,1596.97,975.247
000000000035,1785.46,686.184,1713.29,682.446
000000000035,1139.77,666.392,1167.57,674.364
000000000040,1705.16,947.273,1596.99,975.085
000000000040,1785.58,686.486,1717.32,682.338
000000000040,1143.66,666.317,1167.6,674.307
000000000045,1781.51,686.557,1729.36,686.391
000000000045,1713.08,967.247,1596.92,975.228
000000000045,1143.61,674.31,1167.6,682.319
000000000050,1713.22,967.227,1613.04,967.112
000000000050,1785.48,686.371,1749.28,682.411
000000000050,1143.82,666.459,1171.69,678.317
000000000055,1709.15,971.138,1657.14,975.377
000000000055,1793.52,686.218,1749.32,686.269
000000000055,1139.84,662.309,1167.78,678.327
000000000060,1709.22,971.032,1661.12,979.127
000000000060,1785.53,666.424,1749.47,686.202
000000000060,1139.56,666.403,1159.77,678.401
000000000065,1709.14,971.104,1657.05,979.093
000000000065,1789.5,686.236,1753.48,686.403
000000000065,1139.69,670.338,1167.71,678.384
000000000070,1705.25,971.101,1653.24,979.201
000000000070,1797.45,686.435,1773.37,686.537
000000000070,1135.61,662.409,1151.69,670.352
000000000075,1709.3,971.081,1661.16,979.302
000000000075,1785.45,686.401,1777.32,682.354
000000000075,1167.62,678.418,1159.69,682.271
000000000080,1697.25,955.148,1661.16,979.222
000000000080,1805.4,690.492,1797.48,702.408
000000000080,1171.64,682.333,1151.66,682.448
000000000085,1649.22,947.101,1652.98,975.039
000000000085,1781.3,690.495,1793.44,702.429
000000000085,1143.71,666.351,1167.66,678.413
000000000090,1556.71,942.934,1657.22,979.353
