frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,1259.88,910.84,1328.31,919.01
000000000000,947.133,658.509,951.154,662.466
000000000000,64.7023,714.321,48.6191,714.332
000000000000,1111.54,714.525,1107.51,714.368
000000000000,0.0,0.0,136.825,690.277
000000000005,52.6837,718.624,44.5179,718.587
000000000005,1255.95,910.881,1328.23,918.99
000000000005,947.206,662.391,951.265,666.433
000000000005,1107.74,714.517,1107.77,718.381
000000000005,136.87,686.303,140.979,682.44
000000000010,60.712,718.59,44.8007,718.45
000000000010,1251.98,910.812,1328.05,915.088
000000000010,1111.66,718.485,1111.53,718.642
000000000010,947.178,662.303,943.289,658.498
000000000010,144.95,694.519,164.868,706.458
000000000015,1244.05,907.032,1327.99,914.989
000000000015,60.6941,714.506,48.5985,710.42
000000000015,1115.53,718.504,1107.75,718.651
000000000015,947.018,658.298,947.051,658.402
000000000015,205.03,682.465,200.991,686.39
000000000020,1248.02,907.065,1327.98,915.074
000000000020,68.6895,710.426,44.8249,710.424
000000000020,1107.7,714.486,1111.54,718.515
000000000020,943.215,658.308,947.118,658.328
000000000025,1255.94,907.083,1328.03,915.09
000000000025,1107.74,714.406,1107.66,714.511
000000000025,60.6728,710.498,48.8626,710.466
000000000025,943.101,662.354,943.222,658.578
000000000030,1247.95,907.047,1324.18,915.011
000000000030,209.021,686.273,205.052,686.531
000000000030,1107.61,714.44,1111.54,718.582
000000000030,64.6353,714.356,44.6854,702.386
000000000030,943.033,658.233,943.103,658.232
000000000035,1244.0,903.089,1324.09,910.944
000000000035,1107.73,714.396,1107.72,714.555
000000000035,60.6428,714.375,44.8223,706.467
000000000035,943.092,654.329,943.128,654.361
000000000035,237.226,690.383,225.117,690.53
000000000040,1247.91,903.02,1324.14,911.059
000000000040,1107.58,702.458,1107.54,702.471
000000000040,241.118,666.347,237.046,666.386
000000000040,935.06,654.42,939.153,654.396
000000000040,60.6501,714.424,48.5315,714.345
000000000045,1240.06,899.051,1320.08,907.035
000000000045,927.069,658.346,943.007,658.454
000000000045,1107.63,698.501,1107.52,702.403
000000000045,52.6308,706.495,44.4515,698.381
000000000045,261.249,682.266,249.25,674.377
000000000050,273.372,682.426,265.268,686.288
000000000050,918.967,650.358,939.08,650.196
000000000050,44.8309,702.468,40.6151,698.443
000000000055,281.276,690.304,265.081,690.406
000000000055,891.075,654.361,939.169,654.147
000000000055,48.5131,698.463,44.6833,698.407
000000000060,297.273,654.393,265.176,658.504
000000000060,44.4497,694.436,44.4493,694.416
000000000065,285.357,670.418,265.127,662.401
000000000065,44.4312,690.581,44.4678,690.556
000000000070,277.252,666.386,269.005,658.53
000000000070,44.4752,690.501,44.5995,690.51
000000000070,0.0,0.0,0.0,0.0
000000000075,1236.01,890.974,1320.19,902.958
000000000075,44.4981,690.485,0.0,0.0
000000000075,0.0,0.0,0.0,0.0
000000000075,273.381,658.225,273.213,650.324
000000000080,1240.07,883.139,1324.22,899.061
000000000080,0.0,0.0,0.0,0.0
000000000080,44.5581,690.47,44.6853,690.559
000000000080,273.118,658.343,273.206,654.394
000000000085,1247.96,882.999,1324.12,899.057
000000000085,0.0,0.0,0.0,0.0
000000000085,1103.45,686.429,1107.46,690.53
000000000085,245.145,666.439,241.29,662.454
000000000085,44.4296,690.456,0.0,0.0
000000000090,1236.04,883.063,1324.09,898.931
000000000090,0.0,0.0,0.0,0.0
000000000090,1107.47,690.29,1107.55,690.568
000000000090,44.3779,690.497,0.0,0.0
000000000090,233.162,662.323,249.257,662.377
000000000090,915.116,626.421,919.089,626.226
000000000095,1239.95,883.026,1324.09,895.029
000000000095,0.0,0.0,0.0,0.0
000000000095,915.109,630.414,947.003,638.336
000000000095,1107.45,690.377,1107.63,694.422
000000000095,44.4775,690.498,0.0,0.0
000000000095,217.126,658.374,261.198,654.313
000000000100,1239.97,882.943,1324.11,894.934
000000000100,208.973,666.365,265.147,654.298
000000000100,0.0,0.0,0.0,0.0
000000000100,931.114,642.274,943.073,638.328
000000000100,44.5172,690.398,0.0,0.0
000000000100,1107.43,690.349,1107.59,694.365
000000000105,1239.97,882.933,1324.14,894.936
000000000105,0.0,0.0,0.0,0.0
000000000105,938.967,654.107,943.196,654.209
000000000105,44.5118,690.455,0.0,0.0
000000000105,213.092,666.371,229.148,658.402
000000000105,1107.44,690.343,1107.45,690.541
000000000110,1240.02,882.911,1324.14,891.049
000000000110,0.0,0.0,0.0,0.0
000000000110,935.106,642.34,943.061,646.273
000000000110,213.146,658.525,209.059,654.391
000000000110,1103.68,686.542,1107.51,690.49
000000000110,44.5478,690.562,0.0,0.0
000000000115,1240.03,882.936,1324.09,891.055
000000000115,0.0,0.0,0.0,0.0
000000000115,939.017,646.304,943.023,646.35
000000000115,1103.6,686.477,1103.54,690.312
000000000115,208.961,666.422,205.105,662.313
000000000115,0.0,0.0,0.0,0.0
000000000120,1240.02,882.936,1324.09,891.048
000000000120,497.993,1051.44,554.014,1075.34
000000000120,938.99,642.297,947.099,638.238
000000000120,208.958,662.386,209.1,666.33
000000000120,0.0,0.0,0.0,0.0
000000000120,1103.5,686.412,1103.47,686.404
000000000125,1239.99,882.942,1324.08,891.073
000000000125,465.695,1039.45,526.045,1067.36
000000000125,205.062,674.37,204.864,662.392
000000000125,1103.48,686.491,1103.4,686.533
000000000125,939.116,630.277,943.127,626.43
000000000125,0.0,0.0,0.0,0.0
000000000130,209.253,682.296,204.965,666.434
000000000130,1240.03,882.948,1324.05,891.069
000000000130,477.832,1015.26,530.075,1071.44
000000000130,1103.69,690.402,1107.44,690.582
000000000130,40.6558,686.518,0.0,0.0
000000000130,935.09,622.354,942.96,622.334
000000000135,217.16,682.448,201.015,674.389
000000000135,1239.96,882.906,1320.21,891.032
000000000135,465.805,1015.38,533.969,1019.35
000000000135,1103.6,690.417,1107.54,690.592
000000000135,40.6096,686.464,8.46612,686.449
000000000135,919.128,626.233,939.173,626.281
000000000140,237.048,670.429,204.898,670.432
000000000140,461.887,1007.19,550.031,971.17
000000000140,1240.04,882.837,1324.04,890.977
000000000140,1103.54,690.332,1107.56,690.594
000000000140,0.0,0.0,0.0,0.0
000000000140,923.037,626.266,947.011,626.46
000000000145,237.118,670.322,208.975,670.436
000000000145,1243.98,882.883,1324.17,890.933
000000000145,501.949,975.305,553.98,971.168
000000000145,1103.59,690.41,1107.64,690.602
000000000145,0.0,0.0,0.0,0.0
000000000145,915.136,626.466,923.04,626.391
000000000150,237.069,670.307,208.952,666.349
000000000150,1244.06,882.859,1324.19,887.11
000000000150,521.989,943.08,554.111,971.156
000000000150,1103.72,690.317,1107.59,694.36
000000000150,0.0,0.0,8.46965,686.41
000000000150,919.199,626.36,939.169,630.179
000000000155,237.283,678.442,213.13,678.379
000000000155,1255.92,883.033,1327.96,891.015
000000000155,546.034,975.038,557.92,975.071
000000000155,0.0,0.0,0.0,0.0
000000000155,1103.71,690.476,1107.68,694.477
000000000155,919.137,630.23,942.965,630.219
000000000160,237.242,670.394,213.214,674.319
000000000160,1259.89,883.085,1324.22,891.061
000000000160,534.083,915.138,562.205,919.077
000000000160,915.057,638.263,927.12,634.31
000000000160,1103.64,690.389,1107.6,694.421
000000000160,0.0,0.0,0.0,0.0
000000000160,0.0,0.0,0.0,0.0
000000000165,241.167,658.496,213.176,666.285
000000000165,537.994,911.004,618.107,879.05
000000000165,1264.0,887.005,1328.16,891.048
000000000165,1103.65,690.448,1107.61,694.449
000000000165,915.217,642.309,931.068,638.318
000000000165,0.0,0.0,0.0,0.0
000000000170,1264.05,890.967,1328.2,891.024
000000000170,233.153,658.307,213.206,662.279
000000000170,533.985,906.947,630.243,874.861
000000000170,0.0,0.0,0.0,0.0
000000000170,915.033,634.305,923.153,634.304
000000000170,1103.68,690.488,1107.5,694.509
000000000175,566.085,886.905,630.209,870.896
000000000175,1267.95,894.955,1332.1,890.971
000000000175,233.208,674.339,213.202,674.367
000000000175,48.8595,690.627,0.0,0.0
000000000175,914.856,646.242,915.089,642.247
000000000175,1103.59,690.497,1103.72,694.465
000000000180,1267.96,894.945,1332.1,887.046
000000000180,598.316,862.864,630.345,874.883
000000000180,237.203,674.328,213.125,666.435
000000000180,56.6886,694.421,0.0,0.0
000000000180,911.131,646.23,915.082,642.326
000000000180,1103.7,690.471,1107.44,694.498
000000000185,64.7108,690.46,44.6396,690.375
000000000185,622.322,870.892,634.246,874.987
000000000185,1267.98,894.974,1332.21,891.026
000000000185,237.077,678.308,217.117,674.413
000000000185,910.946,642.242,914.92,638.339
000000000185,1107.52,690.494,1103.62,694.522
000000000190,634.252,874.801,638.206,854.978
000000000190,1267.9,895.005,1328.35,891.059
000000000190,233.081,674.323,213.081,670.384
000000000190,906.967,650.276,910.831,646.346
